method,candidate,u,slot_lambdas,lambda_spread,coherence_error,bond_error,nearest_training_distance,max_proximal_residual,raw_joint_valid
shared,0,0.100000,0.100000;0.100000;0.100000;0.100000,0.00000000,0.07565722,0.42429566,0.59371114,9.30915712e-05,0
shared,1,0.200000,0.200000;0.200000;0.200000;0.200000,0.00000000,0.05839938,0.30597480,0.39192101,5.81986737e-05,0
shared,2,0.300000,0.300000;0.300000;0.300000;0.300000,0.00000000,0.04729802,0.20025020,0.32979659,6.05617927e-05,0
shared,3,0.400000,0.400000;0.400000;0.400000;0.400000,0.00000000,0.04933338,0.17823187,0.26825600,1.18367717e-04,0
shared,4,0.500000,0.500000;0.500000;0.500000;0.500000,0.00000000,0.01820955,0.13623803,0.14438489,1.72931959e-04,0
shared,5,0.600000,0.600000;0.600000;0.600000;0.600000,0.00000000,0.03570003,0.11180114,0.15104719,1.75771952e-04,0
shared,6,0.700000,0.700000;0.700000;0.700000;0.700000,0.00000000,0.03610725,0.12495883,0.22470979,1.53268828e-04,0
shared,7,0.800000,0.800000;0.800000;0.800000;0.800000,0.00000000,0.03373671,0.14365270,0.37676555,1.00074932e-04,0
shared,8,0.900000,0.900000;0.900000;0.900000;0.900000,0.00000000,0.02021210,0.16997182,0.53349391,8.97525013e-05,0
independent,0,,0.100000;0.800000;0.600000;0.400000,0.25860201,0.23155218,0.15122706,0.59731088,9.30915712e-05,0
independent,1,,0.200000;0.900000;0.700000;0.500000,0.25860201,0.21844146,0.17781410,0.56732746,8.83133966e-05,0
independent,2,,0.300000;0.100000;0.800000;0.600000,0.26925824,0.21977022,0.42416032,0.78546883,5.87223344e-05,0
independent,3,,0.400000;0.200000;0.900000;0.700000,0.26925824,0.20392799,0.41395493,0.65267541,1.18367717e-04,0
independent,4,,0.500000;0.300000;0.100000;0.800000,0.25860201,0.24649851,0.12394466,0.60491766,1.72931959e-04,0
independent,5,,0.600000;0.400000;0.200000;0.900000,0.25860201,0.21068508,0.11430334,0.46005966,1.75771952e-04,0
independent,6,,0.700000;0.500000;0.300000;0.100000,0.22360680,0.13496718,0.26370423,0.65693655,1.53268828e-04,0
independent,7,,0.800000;0.600000;0.400000;0.200000,0.22360680,0.13384507,0.27180910,0.54589765,1.00074932e-04,0
independent,8,,0.900000;0.700000;0.500000;0.300000,0.22360680,0.14201110,0.22873642,0.53684213,8.97525013e-05,0
