trial,trial_kind,method,source_ids,lambda,independent_control_nondegenerate,clean_target_rmse,clean_target_relative_rmse,noisy_target_rmse,jitter_error_floor,centroid_rmse,centered_shape_rmse,per_particle_rmse,mean_particle_rmse,max_particle_rmse,terminal_commutation_gap,terminal_commutation_relative,max_replay_residual,template_coherence_error,nearest_memory_source
0,random,shared,253;162;70;252,0.122048016;0.024458830;0.619187339;0.234305815,1,3.196661290e-01,1.435568588e-01,3.160917288e-01,4.118494275e-02,3.148298518e-01,5.539493168e-02,3.635659203e-01;3.251957478e-01;3.001353182e-01;2.758460540e-01;3.281492415e-01;3.060970999e-01;3.608104091e-01;2.860511388e-01,3.182313662e-01,3.635659203e-01,1.191828184e-01,1.034585714e-01,3.860001096e-09,4.679336791e-02,1.198275723e-03
0,random,independent,253;162;70;252,0.122048016;0.024458830;0.619187339;0.234305815,1,1.150846495e+00,5.168264410e-01,1.145981359e+00,4.118494275e-02,7.481391293e-01,8.744915656e-01,3.635659203e-01;1.738307596e+00;9.837125021e-01;1.307067405e+00;3.281492415e-01;1.673858370e+00;9.977962484e-01;9.276266254e-01,1.040010489e+00,1.738307596e+00,,,6.934913950e-09,8.731391178e-01,5.251356943e+00
1,random,shared,67;121;101;128,0.187176076;0.155068254;0.056330576;0.601425094,1,3.400390634e-01,1.527060122e-01,3.429135750e-01,4.206051471e-02,3.345436205e-01,6.088621030e-02,3.592315670e-01;3.193887415e-01;3.153953232e-01;3.581791266e-01;3.782127313e-01;3.188626423e-01;3.735560358e-01;2.862292209e-01,3.386319236e-01,3.782127313e-01,1.315479955e-01,1.141923631e-01,4.692504267e-09,4.159108632e-02,2.697546285e-03
1,random,independent,67;121;101;128,0.187176076;0.155068254;0.056330576;0.601425094,1,8.872833286e-01,3.984645101e-01,8.812927761e-01,4.206051471e-02,6.555894401e-01,5.978914544e-01,3.592315670e-01;9.422536070e-01;1.246749524e+00;7.928224501e-01;3.782127313e-01;9.238901514e-01;1.261639274e+00;7.141296163e-01,8.273661152e-01,1.261639274e+00,,,5.282050636e-09,6.062203311e-01,4.095550312e+00
2,random,shared,137;143;156;37,0.063846979;0.637844664;0.009279875;0.289028482,1,6.594363387e-01,2.961421332e-01,6.622905502e-01,3.999420190e-02,5.064902842e-01,4.222841185e-01,6.177467692e-01;9.081311719e-01;7.277260755e-01;6.477232465e-01;4.808819182e-01;5.354931767e-01;5.424161154e-01;7.149760368e-01,6.468868138e-01,9.081311719e-01,9.021532473e-02,7.831287040e-02,6.285048706e-09,4.266420179e-01,4.080571252e+00
2,random,independent,137;143;156;37,0.063846979;0.637844664;0.009279875;0.289028482,1,1.458196896e+00,6.548525066e-01,1.463934514e+00,3.999420190e-02,1.210808660e+00,8.125765039e-01,6.177467692e-01;2.219289282e+00;1.278816960e+00;1.264615567e+00;4.808819182e-01;2.216033336e+00;1.283498993e+00;1.296072269e+00,1.332119387e+00,2.219289282e+00,,,6.285048706e-09,8.065937041e-01,4.633747211e+00
3,random,shared,218;187;54;140,0.167330074;0.307508015;0.090702820;0.434459091,1,5.134715380e-01,2.305917155e-01,5.247686537e-01,4.231660970e-02,3.986131719e-01,3.236673593e-01,5.507484646e-01;5.235038688e-01;5.235811613e-01;4.945549675e-01;5.152093072e-01;4.826642916e-01;5.497369126e-01;4.609837532e-01,5.126228408e-01,5.507484646e-01,1.009889655e-01,8.766510337e-02,3.400862151e-09,3.282995990e-01,2.158182041e+00
3,random,independent,218;187;54;140,0.167330074;0.307508015;0.090702820;0.434459091,1,9.691298796e-01,4.352204648e-01,9.758958722e-01,4.231660970e-02,6.643670421e-01,7.055700936e-01,5.507484646e-01;1.215564788e+00;7.869426537e-01;1.169077016e+00;5.152093072e-01;1.213131599e+00;7.705863613e-01;1.189885753e+00,9.263932429e-01,1.215564788e+00,,,4.128533739e-09,7.106218048e-01,4.570476221e+00
4,random,shared,64;200;82;131,0.009021708;0.260125653;0.446062916;0.284789723,1,7.379166015e-01,3.313863426e-01,7.214493190e-01,3.902265413e-02,4.550755099e-01,5.808848346e-01,8.228612867e-01;5.325532352e-01;4.983460794e-01;4.888546055e-01;8.738896148e-01;8.534235402e-01;8.731647593e-01;8.085137639e-01,7.189508606e-01,8.738896148e-01,7.775499066e-02,6.749647606e-02,5.492837048e-09,5.871683321e-01,4.297132381e+00
4,random,independent,64;200;82;131,0.009021708;0.260125653;0.446062916;0.284789723,1,9.402091447e-01,4.222326332e-01,9.497479820e-01,3.902265413e-02,6.493991266e-01,6.799073541e-01,8.228612867e-01;9.412220095e-01;9.908264211e-01;1.085997907e+00;8.738896148e-01;5.042663140e-01;1.025200806e+00;1.130846408e+00,9.218888460e-01,1.130846408e+00,,,7.362490110e-09,6.783379335e-01,5.172663886e+00
5,random,shared,125;98;153;231,0.018588171;0.043507234;0.212760687;0.725143909,1,3.543257910e-01,1.591219492e-01,3.595521822e-01,2.648271273e-02,2.745561720e-01,2.239769510e-01,3.906208268e-01;3.918619815e-01;2.184270275e-01;3.811007840e-01;3.927804307e-01;3.994478373e-01;2.069939231e-01;3.854918764e-01,3.458405859e-01,3.994478373e-01,1.294396907e-01,1.123622151e-01,5.131407043e-09,2.350172538e-01,1.465235682e+00
5,random,independent,125;98;153;231,0.018588171;0.043507234;0.212760687;0.725143909,1,1.453484025e+00,6.527360331e-01,1.449640071e+00,2.648271273e-02,9.376164152e-01,1.110626521e+00,3.906208268e-01;1.447115370e+00;2.234794372e+00;8.952892548e-01;3.927804307e-01;1.419121485e+00;2.212689968e+00;1.339466717e+00,1.291484803e+00,2.234794372e+00,,,7.066020907e-09,1.113627094e+00,6.967990144e+00
