stage,plane,finite,mean_pair_distance,rms_radius,radius_ratio,radius_mean,radius_cv,expected_radius_cv,radius_q05_normalized,radius_q25_normalized,radius_q50_normalized,radius_q75_normalized,radius_q95_normalized,uniform_ball_radius,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_source_id,vertex_particle,vertex_particle_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,0,True,5.851716290368988,4.39970246365113,1.0,4.145819307414131,0.35528417781484944,0.20412414523193154,0.34413029986521165,0.5794610555346574,0.7547616328334477,0.9294098623681675,1.2836889600734638,5.388513028005661,0.1875,0.22900390625,0.13427734375,0.10791015625,0.091796875,0.0712890625,0.06005859375,0.0400390625,0.03173828125,0.02587890625,0.02001953125,0.18798828125,0.020724865199900508,0.05544516383001329,0.7273853649329982,,,,,,,1
terminal,0,True,1.1873034556957043,0.8798403902048781,0.19997724788751628,0.8572353107866691,0.23115981553578202,0.20412414523193154,0.44852664737085407,0.6835532069530268,0.8240387867109671,0.9244464399855304,1.0570773857113782,1.077580005546599,0.11083984375,0.1181640625,0.107421875,0.11083984375,0.09716796875,0.1083984375,0.095703125,0.08740234375,0.07275390625,0.0537109375,0.037109375,0.111328125,0.0029137446123076475,0.024998408263676972,0.8360775263971845,,,,,,,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,1.445010463e-03,6.557379571e-04,7.831785298e-04,1.822929739e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,1.685147337e-03,7.647107760e-04,7.831785298e-04,1.980963692e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2,1.411463558e-03,6.405145528e-04,7.831785298e-04,1.836982876e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3,7.819499642e-04,3.548446778e-04,7.831785298e-04,1.415768377e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,4,2.442451453e-03,1.108371301e-03,7.831785298e-04,2.083261190e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5,2.038719389e-03,9.251598667e-04,7.831785298e-04,2.022168488e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,6,1.438114937e-03,6.526088048e-04,7.831785298e-04,1.823402252e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,7,2.026503708e-03,9.196164567e-04,7.831785298e-04,2.076703164e-08,1
