trial,trial_kind,method,source_ids,lambda,independent_control_nondegenerate,clean_target_rmse,clean_target_relative_rmse,noisy_target_rmse,jitter_error_floor,centroid_rmse,centered_shape_rmse,per_particle_rmse,mean_particle_rmse,max_particle_rmse,terminal_commutation_gap,terminal_commutation_relative,max_replay_residual,template_coherence_error,nearest_memory_source
0,random,shared,215;140;84;138,0.269023533;0.027969989;0.302458301;0.400548178,1,3.475420063e-01,1.657789613e-01,3.526667480e-01,4.352656826e-02,1.171607175e-01,3.271984297e-01,3.518369116e-01;1.838997040e-01;4.495718779e-01;2.395626257e-01;2.692251471e-01;4.226418335e-01;4.208356642e-01;3.477918559e-01,3.356707025e-01,4.495718779e-01,6.581613195e-02,1.491582328e-01,1.995330219e-08,3.373992900e-01,2.695398928e+00
0,random,independent,215;140;84;138,0.269023533;0.027969989;0.302458301;0.400548178,1,5.884294034e-01,2.806832370e-01,6.083973061e-01,4.352656826e-02,3.473404134e-01,4.749776836e-01,3.518369116e-01;6.916192346e-01;6.566830344e-01;5.235327698e-01;2.692251471e-01;6.934243823e-01;7.806428859e-01;5.475626778e-01,5.643158804e-01,7.806428859e-01,,,1.973604548e-08,4.776661660e-01,3.226517835e+00
1,random,shared,1;3;152;83,0.520543302;0.471121502;0.003432946;0.004902251,1,5.187049985e-01,2.474244101e-01,5.187274639e-01,3.839069212e-02,3.584647667e-01,3.749105047e-01,4.461516631e-01;5.544804260e-01;2.764523310e-01;4.591213369e-01;5.164802326e-01;7.175197981e-01;3.365232884e-01;6.810920982e-01,4.984776468e-01,7.175197981e-01,7.647132511e-02,1.733059567e-01,2.143374917e-08,3.724741560e-01,3.399755688e+00
1,random,independent,1;3;152;83,0.520543302;0.471121502;0.003432946;0.004902251,1,1.648495537e+00,7.863391270e-01,1.639968547e+00,3.839069212e-02,1.349824317e+00,9.463148774e-01,4.461516631e-01;2.067825550e+00;2.328542494e+00;1.111093101e+00;5.164802326e-01;2.025449490e+00;2.155996090e+00;1.261424524e+00,1.489120393e+00,2.328542494e+00,,,2.039502389e-08,9.520555869e-01,5.576235907e+00
2,random,shared,127;100;138;255,0.136289505;0.035580194;0.742763232;0.085367069,1,3.230786031e-01,1.541098178e-01,3.231490770e-01,2.865150198e-02,1.670977302e-01,2.765106370e-01,2.679152320e-01;3.371653487e-01;3.240723615e-01;1.763534230e-01;2.476620672e-01;2.448379100e-01;4.448602993e-01;4.407641247e-01,3.104538458e-01,4.448602993e-01,5.901224597e-02,1.337386757e-01,1.970476620e-08,2.745464673e-01,3.590063772e+00
2,random,independent,127;100;138;255,0.136289505;0.035580194;0.742763232;0.085367069,1,1.211554527e+00,5.779164748e-01,1.211371637e+00,2.865150198e-02,8.916586955e-01,8.202494398e-01,2.679152320e-01;1.565501628e+00;1.611233366e+00;9.693142474e-01;2.476620672e-01;1.254310350e+00;1.747043564e+00;9.989523645e-01,1.082741602e+00,1.747043564e+00,,,2.186507682e-08,8.240058535e-01,4.798323687e+00
3,random,shared,61;248;87;132,0.030366882;0.104880720;0.731438283;0.133314115,1,4.220876058e-01,2.013375178e-01,4.217843784e-01,2.754735794e-02,2.543852429e-01,3.368175992e-01,3.202080344e-01;1.664772635e-01;3.145528689e-01;1.404281562e-01;7.411477023e-01;6.437174627e-01;4.218008704e-01;1.864512643e-01,3.668479528e-01,7.411477023e-01,6.208945968e-02,1.407125246e-01,2.015428382e-08,3.369549644e-01,3.585731112e+00
3,random,independent,61;248;87;132,0.030366882;0.104880720;0.731438283;0.133314115,1,1.488731050e+00,7.101308122e-01,1.496258522e+00,2.754735794e-02,1.003008587e+00,1.100133590e+00,3.202080344e-01;1.693863054e+00;7.888069834e-01;2.190645323e+00;7.411477023e-01;1.782783552e+00;9.190172321e-01;2.183003143e+00,1.327434378e+00,2.190645323e+00,,,2.072786790e-08,1.097905646e+00,6.506759852e+00
4,random,shared,104;193;204;253,0.031344124;0.157355902;0.491382662;0.319917313,1,2.892260643e-01,1.379620180e-01,2.963595471e-01,4.139473816e-02,1.589557587e-01,2.416294333e-01,3.120965168e-01;2.109088991e-01;1.847597189e-01;2.711163105e-01;3.653966839e-01;6.908315186e-02;4.534249886e-01;2.753275947e-01,2.677642330e-01,4.534249886e-01,5.287144797e-02,1.198218661e-01,2.046046464e-08,2.441337303e-01,3.360640490e+00
4,random,independent,104;193;204;253,0.031344124;0.157355902;0.491382662;0.319917313,1,6.816920075e-01,3.251698814e-01,6.796500793e-01,4.139473816e-02,4.703004905e-01,4.934789173e-01,3.120965168e-01;7.546248166e-01;8.460249984e-01;7.441681841e-01;3.653966839e-01;6.653728632e-01;8.914800473e-01;6.405092138e-01,6.524591655e-01,8.914800473e-01,,,1.977543688e-08,4.989860367e-01,4.117876515e+00
