stage,task_id,source_count,memory_particles,seed,epsilon,exponent_s,gamma,transport_time,steps,finite,hard_pass,radius_ratio,radial_cdf_gap,radius_cv,expected_radius_cv,radial_zone_rmse,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,uniformity_score,runtime_seconds,error
potential,potential_C64_seed42_eps0.01_s1_g0.0005,64,640,42,0.01,1.0,0.0005,1.5,3000,1,1,0.41624822494042896,0.10854146878236837,0.2390312960524776,0.20412414523193154,0.0329313324396387,0.109375,0.015525359078680221,0.09644369350186185,0.48277282877247,0.22051052136291044,102.04117079999924,
potential,potential_C64_seed42_eps0.01_s1_g0.0005,64,640,42,0.01,1.0,0.0005,2.0,4000,1,1,0.39532115738133006,0.08953522825233817,0.19131400360658063,0.20412414523193154,0.03357739427427328,0.053125,0.005545569095028132,0.05972574189101709,0.6339824079704365,0.1548065392383834,102.04117079999924,
potential,potential_C64_seed42_eps0.01_s1_g0.0005,64,640,42,0.01,1.0,0.0005,2.5,5000,1,1,0.38925744007249485,0.14471149240423908,0.16716208810158853,0.20412414523193154,0.04889901104572566,0.01875,0.0022134053636743553,0.036314896066094796,0.756563610718881,0.18323979383400824,102.04117079999924,
potential,potential_C64_seed42_eps0.01_s1_g0.0005,64,640,42,0.01,1.0,0.0005,3.0,6000,1,1,0.38747704121657395,0.2132153022836386,0.15492000991082547,0.20412414523193154,0.06873579398683048,0.0,0.0012305436306727009,0.022108393180428686,0.8432526195826204,0.23655423909474,102.04117079999924,
potential,potential_C64_seed42_eps0.01_s1_g0.0005,64,640,42,0.01,1.0,0.0005,3.5,7000,1,1,0.38691684033900187,0.25866720176983604,0.14852311317882524,0.20412414523193154,0.08850703979769067,0.0,0.0009303892500666771,0.013609497028390068,0.9006985838114261,0.2732070880482928,102.04117079999924,
potential,potential_C64_seed42_eps0.01_s1_g0.0005,64,640,42,0.01,1.0,0.0005,4.0,8000,1,1,0.3867210167469686,0.3027186025617724,0.14507681246493784,0.20412414523193154,0.10472247550072525,0.0,0.0007950797493856656,0.008541285786222232,0.9375511229111981,0.31205496809738026,102.04117079999924,
potential,potential_C64_seed50_eps0.01_s1_g0.0005,64,640,50,0.01,1.0,0.0005,1.5,3000,1,1,0.42495356830732767,0.10312500000000002,0.21958018018284559,0.20412414523193154,0.03238184652509798,0.1046875,0.008341234334845488,0.09620882039972914,0.5102866268215501,0.20767505473457465,102.08812640000178,
potential,potential_C64_seed50_eps0.01_s1_g0.0005,64,640,50,0.01,1.0,0.0005,2.0,4000,1,1,0.4056650088502005,0.09386527615942486,0.18134755131309685,0.20412414523193154,0.03548285787707918,0.0453125,0.0023487134985553802,0.058600437422553296,0.6532799931298415,0.15481442708053353,102.08812640000178,
potential,potential_C64_seed50_eps0.01_s1_g0.0005,64,640,50,0.01,1.0,0.0005,2.5,5000,1,1,0.40020584021189604,0.15535933390564804,0.16172330995910825,0.20412414523193154,0.05033578653651893,0.00625,0.000947126407036995,0.03529161713589562,0.7686086918555929,0.19159807744858068,102.08812640000178,
potential,potential_C64_seed50_eps0.01_s1_g0.0005,64,640,50,0.01,1.0,0.0005,3.0,6000,1,1,0.39862792074771364,0.21283237358978502,0.15162018927009124,0.20412414523193154,0.07255789714083506,0.0,0.0010448202259697344,0.02136868404461561,0.8501271738305324,0.23524587786037038,102.08812640000178,
potential,potential_C64_seed50_eps0.01_s1_g0.0005,64,640,50,0.01,1.0,0.0005,3.5,7000,1,1,0.3981352061254932,0.2671829289852664,0.14627693296926167,0.20412414523193154,0.09415537358536688,0.0,0.0010621071026444698,0.013075403336983446,0.9042999418154435,0.2813204394248943,102.08812640000178,
potential,potential_C64_seed50_eps0.01_s1_g0.0005,64,640,50,0.01,1.0,0.0005,4.0,8000,1,1,0.3979628005555358,0.3087403480690961,0.1433692890112884,0.20412414523193154,0.10820806058237992,0.0,0.0009958187750251904,0.008117238598671597,0.9392019537712762,0.3178534054427929,102.08812640000178,
potential,potential_C64_seed42_eps0.01_s1.5_g0.0005,64,640,42,0.01,1.5,0.0005,1.5,3000,1,1,0.4221153383884788,0.10059502724865399,0.23054616517050697,0.20412414523193154,0.030995053788870897,0.1015625,0.01121077228532596,0.08028412768461511,0.5290257801554039,0.19208992721859508,102.10382860000027,
potential,potential_C64_seed42_eps0.01_s1.5_g0.0005,64,640,42,0.01,1.5,0.0005,2.0,4000,1,1,0.4051939425957749,0.07860651605245128,0.19190224984643245,0.20412414523193154,0.03302756897653837,0.046875,0.003599386702590821,0.04608338229148087,0.691308659618612,0.12828928504652298,102.10382860000027,
potential,potential_C64_seed42_eps0.01_s1.5_g0.0005,64,640,42,0.01,1.5,0.0005,2.5,5000,1,1,0.4008547896960752,0.14561061740556147,0.1767482825625018,0.20412414523193154,0.048205087581602836,0.009375,0.0014279223846678038,0.02613310785431432,0.8098707136830197,0.1731716476445436,102.10382860000027,
potential,potential_C64_seed42_eps0.01_s1.5_g0.0005,64,640,42,0.01,1.5,0.0005,3.0,6000,1,1,0.39969857852820934,0.20328997536144533,0.1709207213366191,0.20412414523193154,0.06909006802717739,0.0,0.0008214260514142922,0.014912001050400431,0.8860049130131394,0.21902340246326008,102.10382860000027,
potential,potential_C64_seed42_eps0.01_s1.5_g0.0005,64,640,42,0.01,1.5,0.0005,3.5,7000,1,1,0.39935467530465146,0.24810909864913966,0.16858083193024773,0.20412414523193154,0.09287087810503357,0.0,0.0006466062566738996,0.008605265771162997,0.9322895777576982,0.25736097067697655,102.10382860000027,
