target,target_source_id,method,parent_source_ids,lambda,lambda_fit_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
0,33,shared_lambda,1668;4129;3858;3436,0.308037877;0.568302434;0.123659689;0.000000000,1.173977149e-03,1.725039722e-03,1.610046432e-03,1.412194829e-03,1.318056168e-03,1.719391288e-03,1.605691355e-03,9.333387582e-01,1.307710839e-02,1.070550701e-02,1.314433710e-02,1.231194530e-01,1.719391288e-03,1.605691355e-03,0.000000000e+00,0.000000000e+00,1.173977149e-03,4.121043355e-09,1.354526477e-02,1.030501932e+00
1,51,shared_lambda,83;1486;3991;3511,0.260392332;0.291436265;0.217724422;0.230446981,6.227375646e-03,8.473632435e-03,7.315695709e-03,6.936895280e-03,5.988956379e-03,8.524479069e-03,7.359590806e-03,8.633482470e-01,1.178609267e-02,9.648623684e-03,1.177215993e-02,6.207057686e-01,8.524479069e-03,7.359590806e-03,0.000000000e+00,0.000000000e+00,6.227375646e-03,5.544018778e-09,9.071147147e-03,7.705592854e-01
2,209,shared_lambda,1666;3297;2724;3210,0.356709745;0.288608137;0.128593819;0.226088300,1.280290729e-02,9.777922960e-03,9.434767906e-03,8.004645958e-03,7.723723852e-03,9.833290114e-03,9.488259634e-03,9.649051178e-01,7.253575147e-03,5.938101703e-03,7.222643408e-03,1.300705888e+00,9.833290114e-03,9.488259634e-03,0.000000000e+00,0.000000000e+00,1.280290729e-02,7.950665416e-09,1.461668343e-02,2.023730456e+00
3,274,shared_lambda,2377;748;1730;3569,0.249335922;0.245963848;0.260778056;0.243922174,4.473056018e-03,1.077503214e-02,1.530944725e-02,8.820924223e-03,1.253299965e-02,1.077859029e-02,1.527670904e-02,1.420826132e+00,1.599161808e-02,1.309145527e-02,1.608623718e-02,9.573419754e-01,1.077859029e-02,1.527670904e-02,0.000000000e+00,0.000000000e+00,4.473056018e-03,3.616340151e-09,1.577854745e-02,9.808724860e-01
4,318,shared_lambda,3847;1093;2009;2602,0.246535313;0.213306888;0.311739536;0.228418262,2.375712060e-03,4.179909268e-03,2.643858757e-03,3.421861060e-03,2.164381270e-03,4.193093905e-03,2.654807026e-03,6.325158245e-01,2.696718303e-02,2.207654464e-02,2.704372418e-02,9.803985657e-02,4.193093905e-03,2.654807026e-03,0.000000000e+00,0.000000000e+00,2.375712060e-03,6.949041253e-09,2.557033978e-02,9.455184358e-01
5,324,shared_lambda,3019;4123;1242;3199,0.248871737;0.248463587;0.255391578;0.247273099,7.840274510e-03,3.890225250e-02,4.161124455e-02,3.184712740e-02,3.406482970e-02,3.870292581e-02,4.139579757e-02,1.069635866e+00,2.506722709e-02,2.052115555e-02,2.506396576e-02,1.659985941e+00,3.870292581e-02,4.139579757e-02,0.000000000e+00,0.000000000e+00,7.840274510e-03,4.004212860e-09,1.860880980e-03,7.424527301e-02
6,572,shared_lambda,2591;82;1941;2338,0.233965964;0.151954885;0.326352999;0.287726152,1.334485904e-02,1.413601817e-02,1.290822881e-02,1.157237802e-02,1.056725462e-02,1.415164603e-02,1.293969619e-02,9.131446107e-01,2.516166809e-02,2.059846919e-02,2.531129456e-02,5.130116476e-01,1.415164603e-02,1.293969619e-02,0.000000000e+00,0.000000000e+00,1.334485904e-02,5.126775490e-09,1.535730463e-02,6.067372253e-01
7,591,shared_lambda,127;2652;907;512,0.363806467;0.215650897;0.202241394;0.218301243,1.345339101e-02,1.846393590e-02,1.909962767e-02,1.511540544e-02,1.563581121e-02,1.857369885e-02,1.921321910e-02,1.034428833e+00,2.514162742e-02,2.058206299e-02,2.503319535e-02,7.596814381e-01,1.857369885e-02,1.921321910e-02,0.000000000e+00,0.000000000e+00,1.345339101e-02,6.307785784e-09,2.483087765e-02,9.919180234e-01
8,703,shared_lambda,2012;1745;906;2893,0.405000067;0.219790962;0.267844707;0.107364263,2.799210723e-02,2.589600993e-02,2.625353206e-02,2.119963433e-02,2.149231797e-02,2.598902807e-02,2.634681481e-02,1.013806070e+00,2.686878104e-02,2.199598836e-02,2.676863994e-02,9.771017160e-01,2.598902807e-02,2.634681481e-02,0.000000000e+00,0.000000000e+00,2.799210723e-02,4.442755368e-09,7.489602405e-03,2.797901732e-01
9,805,shared_lambda,3248;3091;74;1805,0.254596182;0.205919093;0.200596405;0.338888320,6.777273937e-06,2.489877430e-03,2.064947567e-04,2.038325255e-03,1.690458624e-04,2.491399038e-03,2.055918059e-04,8.293370354e-02,3.347284462e-02,2.740237078e-02,3.366945255e-02,6.169023250e-03,2.491399038e-03,2.055918059e-04,0.000000000e+00,0.000000000e+00,6.777273937e-06,3.644222338e-09,3.361595460e-02,9.984110834e-01
