stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,1.0458683433870208,0.8186448176566892,1.0,0.3661164942147032,0.35355339059327373,0.07433754677778182,0.09375,0.109619140625,0.1103515625,0.10693359375,0.1083984375,0.103271484375,0.1015625,0.089599609375,0.0634765625,0.03857421875,0.074462890625,0.008706632054575118,0.005413474002756208,0.9753812307365927,,,,,,1
terminal,,,True,0.9624447431070101,0.7520474987171605,0.9186493122497756,0.3705173146429917,0.35355339059327373,0.0756652781057302,0.110107421875,0.10498046875,0.103759765625,0.098876953125,0.09765625,0.08837890625,0.091064453125,0.072509765625,0.057373046875,0.17529296875,0.0,0.00030611102069122187,0.0005136000824375894,0.9999857834938518,,,,,,1
vertex,3742,0,,,,,,,,,,,,,,,,,,,,,,1.801432059e-04,1.801432059e-04,3.111776738e-04,3.111776738e-04,5.559939910e-09,1
vertex,2962,0,,,,,,,,,,,,,,,,,,,,,,3.681244098e-04,3.681244098e-04,6.358946315e-04,6.358946315e-04,6.641943705e-09,1
vertex,1025,0,,,,,,,,,,,,,,,,,,,,,,3.554905183e-04,3.554905183e-04,6.140709665e-04,6.140709665e-04,6.226738736e-09,1
vertex,3127,0,,,,,,,,,,,,,,,,,,,,,,3.000061147e-04,3.000061147e-04,5.182277314e-04,5.182277314e-04,7.161854197e-09,1
vertex,628,0,,,,,,,,,,,,,,,,,,,,,,6.204308729e-04,6.204308729e-04,1.071726435e-03,1.071726435e-03,9.265851133e-09,1
vertex,1077,0,,,,,,,,,,,,,,,,,,,,,,2.220160808e-04,2.220160808e-04,3.835084829e-04,3.835084829e-04,6.386044490e-09,1
vertex,1517,0,,,,,,,,,,,,,,,,,,,,,,1.606562335e-04,1.606562335e-04,2.775160616e-04,2.775160616e-04,4.319613048e-09,1
vertex,2132,0,,,,,,,,,,,,,,,,,,,,,,6.133765537e-04,6.133765537e-04,1.059540870e-03,1.059540870e-03,8.990687341e-09,1
vertex,2923,0,,,,,,,,,,,,,,,,,,,,,,3.219231144e-04,3.219231144e-04,5.560869498e-04,5.560869498e-04,5.653192667e-09,1
vertex,1704,0,,,,,,,,,,,,,,,,,,,,,,2.201680339e-04,2.201680339e-04,3.803161841e-04,3.803161841e-04,3.962608472e-09,1
vertex,1116,0,,,,,,,,,,,,,,,,,,,,,,3.242671484e-04,3.242671484e-04,5.601360121e-04,5.601360121e-04,5.492829370e-09,1
vertex,1314,0,,,,,,,,,,,,,,,,,,,,,,2.240864213e-04,2.240864213e-04,3.870847695e-04,3.870847695e-04,4.898017828e-09,1
vertex,1674,0,,,,,,,,,,,,,,,,,,,,,,2.736428866e-04,2.736428866e-04,4.726881399e-04,4.726881399e-04,6.370332852e-09,1
vertex,3427,0,,,,,,,,,,,,,,,,,,,,,,2.838304974e-04,2.838304974e-04,4.902861228e-04,4.902861228e-04,5.828879579e-09,1
vertex,3587,0,,,,,,,,,,,,,,,,,,,,,,1.370391056e-04,1.370391056e-04,2.367200577e-04,2.367200577e-04,2.369113185e-09,1
vertex,2825,0,,,,,,,,,,,,,,,,,,,,,,5.894155614e-05,5.894155614e-05,1.018150879e-04,1.018150879e-04,1.214283353e-09,1
