stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.5003825327426306,1.9315296664315358,1.0,0.3932228869178138,0.20412414523193154,0.28682030168696376,0.23193359375,0.18408203125,0.16455078125,0.08984375,0.0537109375,0.03662109375,0.0322265625,0.02197265625,0.0205078125,0.009765625,0.15478515625,0.02978450333449035,0.2808219197628072,0.16402972714140954,,,,,,1
terminal,,,True,1.1806690661057824,0.8737350755069192,0.45235395070122225,0.21592362906823492,0.20412414523193154,0.03606184123312384,0.11181640625,0.10205078125,0.10791015625,0.0869140625,0.078125,0.07958984375,0.1025390625,0.126953125,0.1083984375,0.060546875,0.03515625,0.0001805446239566663,0.029491526484270864,0.7915250510831012,,,,,,1
vertex,304,0,,,,,,,,,,,,,,,,,,,,,,1.683281110e-03,1.184701490e-03,1.742057740e-03,1.226068770e-03,3.158813351e-06,1
vertex,304,1,,,,,,,,,,,,,,,,,,,,,,1.014251197e-03,1.184701490e-03,1.049666712e-03,1.226068770e-03,2.500733666e-06,1
vertex,304,2,,,,,,,,,,,,,,,,,,,,,,1.021236722e-03,1.184701490e-03,1.056896156e-03,1.226068770e-03,2.477107514e-06,1
vertex,304,3,,,,,,,,,,,,,,,,,,,,,,8.420244977e-04,1.184701490e-03,8.714262188e-04,1.226068770e-03,2.646506428e-06,1
vertex,436,0,,,,,,,,,,,,,,,,,,,,,,2.185367688e-03,1.676830334e-03,2.261676123e-03,1.735381715e-03,9.523285168e-06,1
vertex,436,1,,,,,,,,,,,,,,,,,,,,,,1.734181936e-03,1.676830334e-03,1.794735915e-03,1.735381715e-03,5.542355712e-06,1
vertex,436,2,,,,,,,,,,,,,,,,,,,,,,1.731467543e-03,1.676830334e-03,1.791926741e-03,1.735381715e-03,5.822772775e-06,1
vertex,436,3,,,,,,,,,,,,,,,,,,,,,,6.825255295e-04,1.676830334e-03,7.063578828e-04,1.735381715e-03,2.180324363e-06,1
vertex,186,0,,,,,,,,,,,,,,,,,,,,,,1.172048718e-03,1.160712904e-03,1.212974189e-03,1.201242553e-03,3.587242152e-06,1
vertex,186,1,,,,,,,,,,,,,,,,,,,,,,9.502028326e-04,1.160712904e-03,9.833819132e-04,1.201242553e-03,2.641055296e-06,1
vertex,186,2,,,,,,,,,,,,,,,,,,,,,,6.781240415e-04,1.160712904e-03,7.018027041e-04,1.201242553e-03,2.288515678e-06,1
vertex,186,3,,,,,,,,,,,,,,,,,,,,,,1.628674906e-03,1.160712904e-03,1.685544801e-03,1.201242553e-03,4.781757883e-06,1
vertex,21,0,,,,,,,,,,,,,,,,,,,,,,2.041532801e-03,1.783156911e-03,2.112818825e-03,1.845420993e-03,3.311999411e-06,1
vertex,21,1,,,,,,,,,,,,,,,,,,,,,,1.703013111e-03,1.783156911e-03,1.762478740e-03,1.845420993e-03,3.130392394e-06,1
vertex,21,2,,,,,,,,,,,,,,,,,,,,,,2.353528205e-03,1.783156911e-03,2.435708451e-03,1.845420993e-03,7.678621293e-06,1
vertex,21,3,,,,,,,,,,,,,,,,,,,,,,3.337505542e-04,1.783156911e-03,3.454044203e-04,1.845420993e-03,1.641114341e-06,1
