seed,particles_per_source,source_count,condition,run_directory,target,target_source_id,method,lambda_fit_frame,parent_source_ids,lambda,lambda_fit_rmse,initial_candidate_rmse,reference_terminal_rmse,cross_frame_rmse,generation_terminal_rmse,direct_relative_distance,generated_relative_distance,direct_point_distance,generated_point_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_point_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
45,1,512,seed45_p01,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed45_p01\runs\001_20260720T200722_069471Z_seed45,0,257,shared_d1,d1,441;232;438;110,0.594924288;0.405075712;0.000000000;0.000000000,1.096582770e-01,1.096582770e-01,2.212616755e-01,2.212616755e-01,1.852819547e-01,1.116439863e-01,1.880348794e-01,2.113564524e-01,3.559742567e-01,1.096582770e-01,1.821446161e-01,1.684236524e+00,1.876108689e-01,3.551715503e-01,1.817485632e-01,1.002260053e+00,1.096582770e-01,1.821446161e-01,0.000000000e+00,0.000000000e+00,1.852819547e-01,1.647387793e-05,6.973128022e-04,3.836689489e-03
45,1,512,seed45_p01,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed45_p01\runs\001_20260720T200722_069471Z_seed45,0,257,shared_du,du,441;232;438;110,0.490227242;0.122814853;0.386957905;0.000000000,1.083737817e-01,1.452156862e-01,1.083737817e-01,1.452156862e-01,8.233879499e-02,1.455506646e-01,2.772772915e-01,2.755461635e-01,5.249216425e-01,1.452156862e-01,2.772845116e-01,1.905022504e+00,1.876108689e-01,3.551715503e-01,1.817485632e-01,1.477938315e+00,1.452156862e-01,2.772845116e-01,0.000000000e+00,0.000000000e+00,8.233879499e-02,1.788347565e-05,2.766294658e-03,1.522044856e-02
45,1,512,seed45_p01,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed45_p01\runs\001_20260720T200722_069471Z_seed45,0,257,per_particle_d1,d1,441;232;438;110,0.594924288;0.405075712;0.000000000;0.000000000,1.096582770e-01,1.096582770e-01,2.212616755e-01,2.212616755e-01,1.852819547e-01,1.116439863e-01,1.880348794e-01,2.113564524e-01,3.559742567e-01,1.096582770e-01,1.821446161e-01,1.684236524e+00,1.876108689e-01,3.551715503e-01,1.817485632e-01,1.002260053e+00,1.096582770e-01,1.821446161e-01,0.000000000e+00,0.000000000e+00,1.852819547e-01,1.647387793e-05,6.973128022e-04,3.836689489e-03
45,1,512,seed45_p01,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed45_p01\runs\001_20260720T200722_069471Z_seed45,0,257,per_particle_du,du,441;232;438;110,0.490227242;0.122814853;0.386957905;0.000000000,1.083737817e-01,1.452156862e-01,1.083737817e-01,1.452156862e-01,8.233879499e-02,1.455506646e-01,2.772772915e-01,2.755461635e-01,5.249216425e-01,1.452156862e-01,2.772845116e-01,1.905022504e+00,1.876108689e-01,3.551715503e-01,1.817485632e-01,1.477938315e+00,1.452156862e-01,2.772845116e-01,0.000000000e+00,0.000000000e+00,8.233879499e-02,1.788347565e-05,2.766294658e-03,1.522044856e-02
45,2,512,seed45_p02,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed45_p02\runs\001_20260720T200721_824521Z_seed45,0,257,shared_d1,d1,278;404;323;42,0.000000000;0.520390270;0.000000000;0.479609730,5.028268685e-01,5.028268685e-01,6.867320481e-01,6.867320481e-01,6.833939468e-01,5.162487009e-01,7.420954646e-01,nan,nan,5.028268685e-01,7.258938139e-01,1.437476672e+00,7.690383187e-01,nan,7.534886143e-01,9.649655246e-01,5.028268685e-01,7.258938139e-01,6.441475802e-01,1.301441172e+00,6.833939468e-01,8.244375181e-06,2.594338358e-01,3.443102270e-01
45,2,512,seed45_p02,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed45_p02\runs\001_20260720T200721_824521Z_seed45,0,257,shared_du,du,278;404;323;42,0.000000000;0.848786635;0.151213365;0.000000000,4.053556617e-01,7.294693866e-01,4.053556617e-01,7.294693866e-01,3.965886990e-01,7.442315304e-01,8.289193102e-01,nan,nan,7.294693866e-01,8.120883849e-01,1.113792249e+00,7.690383187e-01,nan,7.534886143e-01,1.077864770e+00,7.294693866e-01,8.120883849e-01,8.348012422e-01,6.439389733e-01,3.965886990e-01,7.357818193e-06,1.005224789e-03,1.334094198e-03
45,2,512,seed45_p02,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed45_p02\runs\001_20260720T200721_824521Z_seed45,0,257,per_particle_d1,d1,278;404;323;42,0.000000000;0.720934075;0.279065925;0.000000000|0.064325697;0.000000000;0.216344299;0.719330004,2.607071518e-01,2.607071518e-01,4.157562278e-01,4.157562278e-01,3.903506909e-01,2.703318599e-01,2.484276595e-01,nan,nan,2.607071518e-01,2.412730122e-01,9.189729231e-01,7.690383187e-01,nan,7.534886143e-01,3.230367765e-01,2.607071518e-01,2.412730122e-01,1.796381703e-01,1.450159453e-01,3.903506909e-01,9.807639863e-06,7.389402686e-01,9.806920166e-01
45,2,512,seed45_p02,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed45_p02\runs\001_20260720T200721_824521Z_seed45,0,257,per_particle_du,du,278;404;323;42,0.000000000;0.946580950;0.053419050;0.000000000|0.000000000;0.307677129;0.303953730;0.388369141,2.889623010e-01,4.325811467e-01,2.889623010e-01,4.325811467e-01,2.804763570e-01,4.445427300e-01,7.489796437e-01,nan,nan,4.325811467e-01,7.322179273e-01,1.684831610e+00,7.690383187e-01,nan,7.534886143e-01,9.739171969e-01,4.325811467e-01,7.322179273e-01,1.295309561e-01,6.892641553e-01,2.804763570e-01,7.403009101e-06,1.806277246e-01,2.397219031e-01
45,3,512,seed45_p03,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed45_p03\runs\001_20260720T200721_682337Z_seed45,0,257,shared_d1,d1,417;183;480;149,0.159303130;0.000000000;0.392830159;0.447866711,2.066106330e-01,2.066106330e-01,6.492731830e-01,6.492731830e-01,6.475515084e-01,2.565960376e-01,3.665441624e-01,nan,nan,2.066106330e-01,2.963117843e-01,1.428487228e+00,4.078960538e-01,nan,3.306561164e-01,8.986214969e-01,2.066106330e-01,2.963117843e-01,3.532622250e-01,5.759966821e-01,6.475515084e-01,6.058324505e-06,1.954752367e-01,5.911738116e-01
45,3,512,seed45_p03,E:\Desktop\AnewOmni\4.5hypothesis\experiments\10_lambda_frame_particle_sweep\results\002_20260720T200720_834951Z_seed45-46-47\conditions\seed45_p03\runs\001_20260720T200721_682337Z_seed45,0,257,shared_du,du,417;183;480;149,0.450443232;0.000000000;0.045092824;0.504463944,5.094866723e-01,2.420315110e-01,5.094866723e-01,2.420315110e-01,5.070561318e-01,2.997167848e-01,3.832441063e-01,nan,nan,2.420315110e-01,3.094515794e-01,1.278687500e+00,4.078960538e-01,nan,3.306561164e-01,9.395631628e-01,2.420315110e-01,3.094515794e-01,3.200517034e-01,3.412859562e-01,5.070561318e-01,6.071548015e-06,2.626975578e-01,7.944736080e-01
