stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.6674510244545937,2.0833383735093842,1.0,0.449893597158307,0.20412414523193154,0.31293115886950934,0.390625,0.109375,0.0234375,0.046875,0.0546875,0.078125,0.046875,0.0390625,0.0078125,0.015625,0.1875,0.13226962090829314,0.29050709217825477,0.18728367903811347,,,,,,1
terminal,,,True,2.622437661159877,2.0457198380920603,0.9819431466843499,0.44849028815215697,0.20412414523193154,0.3125026793093538,0.390625,0.109375,0.0234375,0.0546875,0.046875,0.0703125,0.0546875,0.03125,0.0078125,0.0234375,0.1875,0.13053665354423394,0.2874888266119448,0.18883194713803256,,,,,,1
vertex,20,0,,,,,,,,,,,,,,,,,,,,,,2.340236538e-03,4.047083442e-03,2.246395961e-03,3.884800425e-03,7.262814375e-04,1
vertex,20,1,,,,,,,,,,,,,,,,,,,,,,4.944847314e-03,4.047083442e-03,4.746565081e-03,3.884800425e-03,2.030312383e-03,1
vertex,20,2,,,,,,,,,,,,,,,,,,,,,,2.133817241e-03,4.047083442e-03,2.048253821e-03,3.884800425e-03,8.035491966e-04,1
vertex,20,3,,,,,,,,,,,,,,,,,,,,,,5.570829340e-03,4.047083442e-03,5.347446005e-03,3.884800425e-03,1.581439632e-03,1
vertex,3,0,,,,,,,,,,,,,,,,,,,,,,1.925103522e-03,3.847900486e-03,1.847909263e-03,3.693604458e-03,6.613293039e-04,1
vertex,3,1,,,,,,,,,,,,,,,,,,,,,,2.379347406e-03,3.847900486e-03,2.283938532e-03,3.693604458e-03,6.871952690e-04,1
vertex,3,2,,,,,,,,,,,,,,,,,,,,,,6.511388102e-03,3.847900486e-03,6.250289530e-03,3.693604458e-03,1.679606545e-03,1
vertex,3,3,,,,,,,,,,,,,,,,,,,,,,2.731274415e-03,3.847900486e-03,2.621753705e-03,3.693604458e-03,1.027213149e-03,1
