stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.5410746411104816,1.9750818991856391,1.0,0.4538253859672947,0.20412414523193154,0.32082909214647126,0.40625,0.0625,0.0234375,0.015625,0.03125,0.0625,0.0390625,0.03125,0.015625,0.0546875,0.2578125,0.11318119626540495,0.29358694573069116,0.14194848647152444,,,,,,1
terminal,,,True,2.5001808462802537,1.9405016454886161,0.9824917368179613,0.4510199179200798,0.20412414523193154,0.3169769538952303,0.40625,0.0625,0.0234375,0.015625,0.03125,0.0859375,0.0234375,0.015625,0.0234375,0.0546875,0.2578125,0.11131117640713457,0.2882542513388453,0.14392675614132014,,,,,,1
vertex,21,0,,,,,,,,,,,,,,,,,,,,,,9.520189960e-04,7.958788616e-03,9.628642963e-04,8.049454300e-03,4.182186070e-04,1
vertex,21,1,,,,,,,,,,,,,,,,,,,,,,1.501874383e-02,7.958788616e-03,1.518983579e-02,8.049454300e-03,4.424266584e-03,1
vertex,21,2,,,,,,,,,,,,,,,,,,,,,,4.677833131e-03,7.958788616e-03,4.731122515e-03,8.049454300e-03,8.472742278e-04,1
vertex,21,3,,,,,,,,,,,,,,,,,,,,,,2.240119551e-03,7.958788616e-03,2.265638758e-03,8.049454300e-03,9.289377721e-04,1
vertex,3,0,,,,,,,,,,,,,,,,,,,,,,9.153360010e-03,4.874217462e-03,9.257634126e-03,4.929744035e-03,1.837188117e-03,1
vertex,3,1,,,,,,,,,,,,,,,,,,,,,,2.864432359e-03,4.874217462e-03,2.897063671e-03,4.929744035e-03,7.500091605e-04,1
vertex,3,2,,,,,,,,,,,,,,,,,,,,,,1.203054068e-03,4.874217462e-03,1.216759134e-03,4.929744035e-03,5.364372274e-04,1
vertex,3,3,,,,,,,,,,,,,,,,,,,,,,1.263199174e-03,4.874217462e-03,1.277589407e-03,4.929744035e-03,4.769294776e-04,1
