stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.5410746411104816,1.9750818991856391,1.0,0.4538253859672947,0.20412414523193154,0.32082909214647126,0.40625,0.0625,0.0234375,0.015625,0.03125,0.0625,0.0390625,0.03125,0.015625,0.0546875,0.2578125,0.11318119626540495,0.29358694573069116,0.14194848647152444,,,,,,1
terminal,,,True,1.1308596962851833,0.8308694076840004,0.4206759264142831,0.19687941564788788,0.20412414523193154,0.1115795700962367,0.109375,0.078125,0.0546875,0.0703125,0.15625,0.171875,0.1484375,0.078125,0.0859375,0.015625,0.03125,0.00338074285877937,0.043774287780604056,0.7308182667374958,,,,,,1
vertex,8,0,,,,,,,,,,,,,,,,,,,,,,6.195254923e-03,3.189869222e-03,6.265830616e-03,3.226207878e-03,1.052318464e-06,1
vertex,8,1,,,,,,,,,,,,,,,,,,,,,,1.015427295e-03,3.189869222e-03,1.026994936e-03,3.226207878e-03,9.526182567e-08,1
vertex,8,2,,,,,,,,,,,,,,,,,,,,,,4.506554697e-04,3.189869222e-03,4.557892894e-04,3.226207878e-03,3.860162663e-08,1
vertex,8,3,,,,,,,,,,,,,,,,,,,,,,1.041967430e-03,3.189869222e-03,1.053837414e-03,3.226207878e-03,7.971212086e-08,1
vertex,20,0,,,,,,,,,,,,,,,,,,,,,,2.126331984e-03,1.644939282e-03,2.150554935e-03,1.663678258e-03,8.185397934e-08,1
vertex,20,1,,,,,,,,,,,,,,,,,,,,,,1.962745996e-03,1.644939282e-03,1.985105392e-03,1.663678258e-03,7.734091705e-08,1
vertex,20,2,,,,,,,,,,,,,,,,,,,,,,6.734265725e-04,1.644939282e-03,6.810981772e-04,1.663678258e-03,5.160753841e-08,1
vertex,20,3,,,,,,,,,,,,,,,,,,,,,,1.412847504e-03,1.644939282e-03,1.428942515e-03,1.663678258e-03,1.599495518e-07,1
vertex,3,0,,,,,,,,,,,,,,,,,,,,,,6.227439315e-03,3.194178840e-03,6.298381649e-03,3.230566590e-03,4.220441925e-07,1
vertex,3,1,,,,,,,,,,,,,,,,,,,,,,1.215562687e-03,3.194178840e-03,1.229410250e-03,3.230566590e-03,6.895535517e-08,1
vertex,3,2,,,,,,,,,,,,,,,,,,,,,,5.123719374e-04,3.194178840e-03,5.182088247e-04,3.230566590e-03,4.955932658e-08,1
vertex,3,3,,,,,,,,,,,,,,,,,,,,,,5.385125681e-04,3.194178840e-03,5.446472467e-04,3.230566590e-03,4.423608120e-08,1
vertex,26,0,,,,,,,,,,,,,,,,,,,,,,5.446224643e-03,5.142244899e-03,5.508267462e-03,5.200824812e-03,3.793521077e-07,1
vertex,26,1,,,,,,,,,,,,,,,,,,,,,,8.566151819e-03,5.142244899e-03,8.663736521e-03,5.200824812e-03,1.197634484e-06,1
vertex,26,2,,,,,,,,,,,,,,,,,,,,,,9.243085550e-04,5.142244899e-03,9.348381809e-04,5.200824812e-03,6.295791589e-08,1
vertex,26,3,,,,,,,,,,,,,,,,,,,,,,1.369694938e-03,5.142244899e-03,1.385298359e-03,5.200824812e-03,7.221896493e-08,1
