stage,plane,finite,mean_pair_distance,rms_radius,radius_ratio,radius_mean,radius_cv,expected_radius_cv,radius_q05_normalized,radius_q25_normalized,radius_q50_normalized,radius_q75_normalized,radius_q95_normalized,uniform_ball_radius,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_source_id,vertex_particle,vertex_particle_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,0,True,5.213811020428906,3.9082099111630915,1.0,3.6858911165727757,0.35252000936924055,0.20412414523193154,0.3514968425341818,0.5707604135676143,0.7586265198167502,0.9277306457826293,1.2836460971591492,4.786560045018774,0.18606936106375288,0.23046875,0.1484375,0.09765625,0.0859375,0.06640625,0.06640625,0.0390625,0.0390625,0.01953125,0.02734375,0.1796875,0.017995689660506808,0.03570951902582395,0.8002519224668463,,,,,,,1
initial,1,True,5.212168565370783,3.906751302799355,1.0,3.684274657594923,0.35272842004552,0.20412414523193154,0.37399469685690057,0.5750120681799642,0.7648775268660151,0.9262375691343476,1.2915321110899778,4.784773621905919,0.18247270302285523,0.234375,0.140625,0.08984375,0.08984375,0.0859375,0.05859375,0.02734375,0.046875,0.03125,0.01953125,0.17578125,0.017605903113781046,0.036715155535302905,0.806268007515253,,,,,,,1
initial,2,True,5.207839916495022,3.9043448549436808,1.0,3.6802812579931445,0.3542189001391803,0.20412414523193154,0.35415477300352394,0.5800847780470929,0.7633326791855066,0.9214029278136113,1.3022323868668122,4.781826337236411,0.18202233004865478,0.2265625,0.15234375,0.08203125,0.1015625,0.0703125,0.0703125,0.0390625,0.0390625,0.01953125,0.01953125,0.1796875,0.01820971362146675,0.03415809496759997,0.8070886566267106,,,,,,,1
initial,3,True,5.20905033306459,3.904027696299814,1.0,3.6819223829452423,0.35254116489277665,0.20412414523193154,0.3619369837692282,0.5785688984794777,0.7562193836585451,0.92030421107045,1.2922623046680695,4.781437898813917,0.18431287106285327,0.23046875,0.15234375,0.078125,0.09375,0.08203125,0.05859375,0.03515625,0.03515625,0.02734375,0.03125,0.17578125,0.01740984856148453,0.032797196827022465,0.8108887542872883,,,,,,,1
initial,4,True,5.209415844069946,3.9052128453969086,1.0,3.6809108029790485,0.35438169335518854,0.20412414523193154,0.348999770404374,0.5800379214129234,0.7585409881065961,0.9323442556983754,1.288351658640312,4.782889404092418,0.19203901520200914,0.234375,0.14453125,0.09765625,0.078125,0.078125,0.0625,0.02734375,0.046875,0.02734375,0.0234375,0.1796875,0.018171104139616583,0.0361289002199469,0.8020983186256655,,,,,,,1
initial,5,True,5.207894744254652,3.9040589965063064,1.0,3.6796224826425044,0.35455493560079776,0.20412414523193154,0.3596861598726311,0.5766886908533336,0.7622160726850098,0.9260147938312697,1.3071972077968255,4.781476233581293,0.18976071543463224,0.23046875,0.13671875,0.1015625,0.0859375,0.09375,0.05078125,0.03125,0.0390625,0.0234375,0.02734375,0.1796875,0.01688125822387576,0.035145286010461796,0.805768576973815,,,,,,,1
initial,6,True,5.207046306744233,3.9034828142984774,1.0,3.680231798964131,0.353559522404027,0.20412414523193154,0.3654519770479632,0.5793238813527303,0.7576712870745346,0.92300784550894,1.2960066988081618,4.7807705573772665,0.18630000521205858,0.234375,0.140625,0.09375,0.09375,0.078125,0.04296875,0.05859375,0.03515625,0.02734375,0.015625,0.1796875,0.01743549903153706,0.03511365581756874,0.8060103778229272,,,,,,,1
initial,7,True,5.201988796406136,3.898854665500764,1.0,3.6767616040598936,0.35278572820904824,0.20412414523193154,0.36705060986592064,0.5754353154467713,0.7581103499259091,0.9276733705287712,1.2915934802262483,4.77510225587323,0.18701028429494385,0.23046875,0.1484375,0.09375,0.078125,0.08203125,0.0546875,0.04296875,0.04296875,0.01953125,0.0234375,0.18359375,0.01677149602062331,0.034480655812185235,0.8048760410202449,,,,,,,1
terminal,0,True,1.1489528349375837,0.8478877840912359,0.21695042061824737,0.8286860995119734,0.216516481053104,0.20412414523193154,0.46663741604520304,0.7049214163408082,0.8403100630974475,0.9150973796308266,1.0446743300730919,1.0384462150813203,0.10134026763830617,0.109375,0.09375,0.09765625,0.12109375,0.078125,0.15625,0.08984375,0.08203125,0.04296875,0.02734375,0.1015625,0.0020234613936774113,0.01217335162399177,0.9021341784054455,,,,,,,1
terminal,1,True,1.1487876313188878,0.8477411870392922,0.21699389629225935,0.8285502184586787,0.21647331618992013,0.20412414523193154,0.47753609631996075,0.7079638797444322,0.8364846045345574,0.9116132806636209,1.0423060412120793,1.0382666710937911,0.09375,0.109375,0.09375,0.09375,0.13671875,0.07421875,0.1640625,0.0859375,0.0625,0.046875,0.03515625,0.09765625,0.002321488247806942,0.012539124669230066,0.9036895620589945,,,,,,,1
terminal,2,True,1.1487041804578864,0.847681571769808,0.21711237179689025,0.8285706863822448,0.21601331779995858,0.20412414523193154,0.47410650848510133,0.7107592257873286,0.8380026031380345,0.9126219213630657,1.041657082244088,1.0381936575982336,0.1015625,0.109375,0.1015625,0.09375,0.109375,0.08984375,0.15234375,0.09375,0.0703125,0.046875,0.02734375,0.10546875,0.0019804617104340256,0.012299919070035532,0.9041811890036112,,,,,,,1
terminal,3,True,1.1486023796586073,0.8475896767206429,0.21710647122815682,0.8284716366762239,0.21606727253998176,0.20412414523193154,0.47098928572337967,0.7026702472718978,0.8386342338406196,0.9123994703390154,1.0454326218937648,1.0380811096080622,0.09553692202375608,0.11328125,0.09375,0.08984375,0.12109375,0.09375,0.14453125,0.09375,0.0703125,0.046875,0.03515625,0.09765625,0.001974189625838656,0.011722763364332221,0.9071866087315001,,,,,,,1
terminal,4,True,1.1488357280290726,0.8477967277084034,0.21709360315858459,0.828620322285665,0.2163809661780317,0.20412414523193154,0.4575218840479508,0.7068652219558544,0.8396932749006616,0.9165267851931818,1.040882716784553,1.0383346942434386,0.09765625,0.11328125,0.09765625,0.078125,0.13671875,0.078125,0.140625,0.09375,0.078125,0.046875,0.03515625,0.1015625,0.0019628800594587883,0.011998261120159068,0.9022781676288817,,,,,,,1
