trial,trial_kind,method,source_ids,lambda,independent_control_nondegenerate,clean_target_rmse,clean_target_relative_rmse,noisy_target_rmse,jitter_error_floor,centroid_rmse,centered_shape_rmse,per_particle_rmse,mean_particle_rmse,max_particle_rmse,terminal_commutation_gap,terminal_commutation_relative,max_replay_residual,template_coherence_error,nearest_memory_source
0,random,shared,215;140;84;138,0.269023533;0.027969989;0.302458301;0.400548178,1,3.036833017e-01,1.448581795e-01,3.093051521e-01,4.352656826e-02,2.039104659e-01,2.250423730e-01,2.114264482e-01;2.640264282e-01;2.289080289e-01;2.314538011e-01;2.669597778e-01;2.910791777e-01;5.441690940e-01;2.555247988e-01,2.866934443e-01,5.441690940e-01,1.086918892e-01,1.142177565e-01,4.394949810e-09,2.296851338e-01,1.406766849e+00
0,random,independent,215;140;84;138,0.269023533;0.027969989;0.302458301;0.400548178,1,6.429805643e-01,3.067043643e-01,6.541469057e-01,4.352656826e-02,4.603335455e-01,4.489064858e-01,2.114264482e-01;8.724427602e-01;8.909986322e-01;5.229613674e-01;2.669597778e-01;9.112013965e-01;5.441690940e-01;4.863042989e-01,5.883079719e-01,9.112013965e-01,,,4.000708448e-09,4.484288832e-01,3.353070886e+00
1,random,shared,1;3;152;83,0.520543302;0.471121502;0.003432946;0.004902251,1,6.642714820e-01,3.168602193e-01,6.550977136e-01,3.839069212e-02,6.616892346e-01,5.851460161e-02,6.800119364e-01;6.859680102e-01;6.784547578e-01;6.662014755e-01;6.757802319e-01;6.447424849e-01;6.000491721e-01;6.786224301e-01,6.637288124e-01,6.859680102e-01,7.236773349e-02,7.604689021e-02,7.017894258e-09,5.063914904e-02,3.443545129e-03
1,random,independent,1;3;152;83,0.520543302;0.471121502;0.003432946;0.004902251,1,1.607205262e+00,7.666434965e-01,1.597601213e+00,3.839069212e-02,1.141619821e+00,1.131288176e+00,6.800119364e-01;2.064035491e+00;2.150766040e+00;1.001503936e+00;6.757802319e-01;2.031441418e+00;2.158677395e+00;1.034449291e+00,1.474583217e+00,2.158677395e+00,,,5.705028188e-09,1.134296023e+00,6.544847003e+00
2,random,shared,127;100;138;255,0.136289505;0.035580194;0.742763232;0.085367069,1,3.978619530e-01,1.897817821e-01,3.967496435e-01,2.865150198e-02,2.748209410e-01,2.876935592e-01,5.450253709e-01;1.996308052e-01;3.262786386e-01;5.584763787e-01;5.687359333e-01;2.586441310e-01;1.678085716e-01;3.042651394e-01,3.661081211e-01,5.687359333e-01,2.472999428e-02,2.598726075e-02,4.843350609e-09,2.980678418e-01,2.822818230e+00
2,random,independent,127;100;138;255,0.136289505;0.035580194;0.742763232;0.085367069,1,1.336287459e+00,6.374145945e-01,1.337541964e+00,2.865150198e-02,1.037276223e+00,8.424501237e-01,5.450253709e-01;1.258455395e+00;1.878761867e+00;1.272993895e+00;5.687359333e-01;1.252780377e+00;1.912413198e+00;1.305391768e+00,1.249319725e+00,1.912413198e+00,,,5.307295562e-09,8.508220622e-01,5.016557555e+00
3,random,shared,61;248;87;132,0.030366882;0.104880720;0.731438283;0.133314115,1,7.846624773e-01,3.742872175e-01,7.864284007e-01,2.754735794e-02,7.818924098e-01,6.587459884e-02,8.260872431e-01;7.842169321e-01;7.926757889e-01;7.706545143e-01;7.430766431e-01;7.949788937e-01;8.002185207e-01;7.624945839e-01,7.843003900e-01,8.260872431e-01,5.435587569e-02,5.711931425e-02,4.841261820e-09,6.287729504e-02,1.855162794e-03
3,random,independent,61;248;87;132,0.030366882;0.104880720;0.731438283;0.133314115,1,1.618619000e+00,7.720878968e-01,1.627066758e+00,2.754735794e-02,1.039685970e+00,1.240556549e+00,8.260872431e-01;1.811388937e+00;7.928543555e-01;2.453096795e+00;7.430766431e-01;1.785383236e+00;8.410842630e-01;2.429483255e+00,1.460306841e+00,2.453096795e+00,,,4.998307425e-09,1.242820520e+00,7.358002191e+00
4,random,shared,104;193;204;253,0.031344124;0.157355902;0.491382662;0.319917313,1,6.302078552e-01,3.006117297e-01,6.258297093e-01,4.139473816e-02,6.277164664e-01,5.598194777e-02,6.494845471e-01;6.056952284e-01;6.252436528e-01;6.885023607e-01;6.565309947e-01;6.235012088e-01;5.933261280e-01;5.931365056e-01,6.294275783e-01,6.885023607e-01,8.861239363e-02,9.311742465e-02,4.106121757e-09,4.745565435e-02,1.948129208e-03
4,random,independent,104;193;204;253,0.031344124;0.157355902;0.491382662;0.319917313,1,7.760893323e-01,3.701977922e-01,7.733666393e-01,4.139473816e-02,4.034526152e-01,6.629786113e-01,6.494845471e-01;7.511846823e-01;9.714842634e-01;6.914607422e-01;6.565309947e-01;7.612665525e-01;9.940920460e-01;6.416621164e-01,7.646457431e-01,9.940920460e-01,,,4.652252073e-09,6.632751906e-01,4.874802030e+00
5,random,shared,33;161;11;113,0.421647917;0.018728323;0.073454697;0.486169063,1,5.975658210e-01,2.850413456e-01,6.063655316e-01,4.650118843e-02,5.949351186e-01,5.600995519e-02,6.438333988e-01;6.093468597e-01;6.143085687e-01;6.241030369e-01;5.833196943e-01;5.591194297e-01;5.897968844e-01;5.506703708e-01,5.968122804e-01,6.438333988e-01,1.323464028e-01,1.390748595e-01,7.198271768e-09,3.984578933e-02,3.778339221e-03
5,random,independent,33;161;11;113,0.421647917;0.018728323;0.073454697;0.486169063,1,1.146736307e+00,5.469979179e-01,1.154829834e+00,4.650118843e-02,8.570582532e-01,7.618761760e-01,6.438333988e-01;1.238424800e+00;1.214354051e+00;1.297102848e+00;5.833196943e-01;1.327041381e+00;1.285760593e+00;1.288488756e+00,1.109790690e+00,1.327041381e+00,,,8.258197763e-09,7.599645511e-01,5.249340406e+00
6,random,shared,9;167;53;27,0.560864689;0.220348147;0.033715135;0.185072029,1,5.475559206e-01,2.611864182e-01,5.567032296e-01,4.372040629e-02,4.214321678e-01,3.495889217e-01,5.147752838e-01;5.262434409e-01;6.543306757e-01;4.644126167e-01;4.752397991e-01;6.137817014e-01;5.967186662e-01;5.041154788e-01,5.437022078e-01,6.543306757e-01,9.033660039e-02,9.492928963e-02,5.496399560e-09,3.578734707e-01,2.607118794e+00
6,random,independent,9;167;53;27,0.560864689;0.220348147;0.033715135;0.185072029,1,1.285104467e+00,6.130000977e-01,1.294196492e+00,4.372040629e-02,9.224194132e-01,8.947826095e-01,5.147752838e-01;7.593714319e-01;2.072813627e+00;1.248197240e+00;4.752397991e-01;7.527667406e-01;2.087061855e+00;1.169366867e+00,1.134949106e+00,2.087061855e+00,,,6.036501903e-09,8.932111804e-01,5.644808872e+00
7,random,shared,224;17;207;76,0.472134435;0.167867315;0.238348842;0.121649408,1,4.177176283e-01,1.992530206e-01,4.213132700e-01,3.443086666e-02,4.141711315e-01,5.431657968e-02,4.328414280e-01;3.765335934e-01;4.279233083e-01;4.178253767e-01;4.006737905e-01;4.740476737e-01;4.153618195e-01;3.889631854e-01,4.167712719e-01,4.740476737e-01,7.753278773e-02,8.147453446e-02,4.043774367e-09,4.443088953e-02,1.006104549e-03
7,random,independent,224;17;207;76,0.472134435;0.167867315;0.238348842;0.121649408,1,8.279907424e-01,3.949549775e-01,8.333684754e-01,3.443086666e-02,5.677304944e-01,6.027028748e-01,4.328414280e-01;1.508709871e+00;6.056941248e-01;8.754011845e-01;4.006737905e-01;8.690886104e-01;5.312428372e-01;8.304975154e-01,7.567686702e-01,1.508709871e+00,,,5.404227777e-09,6.039057597e-01,3.608307751e+00
8,random,shared,235;203;75;174,0.285252495;0.015654410;0.268030546;0.431062550,1,6.792458537e-01,3.240030560e-01,6.753746873e-01,3.112730414e-02,4.666756724e-01,4.935471067e-01,5.896132531e-01;6.008791820e-01;6.277136861e-01;9.646458580e-01;6.493850606e-01;5.994320334e-01;7.041711677e-01;6.171361294e-01,6.691220463e-01,9.646458580e-01,8.110200567e-02,8.522521052e-02,6.212669206e-09,4.917657886e-01,3.314914896e+00
8,random,independent,235;203;75;174,0.285252495;0.015654410;0.268030546;0.431062550,1,9.868470596e-01,4.707300918e-01,9.715504871e-01,3.112730414e-02,7.770251020e-01,6.083577154e-01,5.896132531e-01;1.181486472e+00;1.065008494e+00;1.089909902e+00;6.493850606e-01;1.045808569e+00;1.042761362e+00;1.059466099e+00,9.654299015e-01,1.181486472e+00,,,4.923853392e-09,6.187609764e-01,4.139048839e+00
9,random,shared,4;128;47;29,0.081919923;0.543035551;0.081245617;0.293798909,1,2.156405775e-01,1.028614392e-01,2.201769834e-01,4.071796190e-02,1.679731795e-01,1.352252551e-01,2.676464200e-01;2.019704865e-01;1.733448651e-01;2.366682575e-01;1.609226411e-01;2.460258373e-01;2.247184175e-01;1.913026478e-01,2.128249466e-01,2.676464200e-01,2.045328402e-01,2.149312366e-01,5.133253501e-09,1.307441055e-01,7.422074491e-01
9,random,independent,4;128;47;29,0.081919923;0.543035551;0.081245617;0.293798909,1,9.574483331e-01,4.567067788e-01,9.499655901e-01,4.071796190e-02,6.979743143e-01,6.553923765e-01,2.676464200e-01;1.308948993e+00;1.733448651e-01;1.269377997e+00;1.609226411e-01;1.244577859e+00;8.765429075e-01;1.250643778e+00,8.190006825e-01,1.308948993e+00,,,3.911022705e-09,6.511707421e-01,4.569203715e+00
10,random,shared,4;128;73;20,0.127149125;0.372276820;0.498137719;0.002436337,1,6.015481605e-01,2.869409379e-01,6.050766016e-01,3.187270709e-02,4.499302545e-01,3.992780429e-01,6.507341363e-01;6.245230554e-01;5.364252263e-01;6.657649894e-01;6.389051005e-01;6.674242712e-01;3.118232671e-01;6.320710978e-01,5.909588930e-01,6.674242712e-01,8.780915700e-02,9.227335167e-02,4.053221552e-09,3.907910043e-01,2.727028122e+00
10,random,independent,4;128;73;20,0.127149125;0.372276820;0.498137719;0.002436337,1,9.645265287e-01,4.600831071e-01,9.645346355e-01,3.187270709e-02,7.327274875e-01,6.272334920e-01,6.507341363e-01;1.357223172e+00;1.020352485e+00;6.657649894e-01;6.389051005e-01;1.357423983e+00;9.867010322e-01;6.842813765e-01,9.201732844e-01,1.357423983e+00,,,4.154496643e-09,6.315104750e-01,4.421146866e+00
11,random,shared,149;76;5;48,0.151076886;0.070871282;0.774965149;0.003086683,1,2.821459988e-01,1.345847977e-01,2.794178165e-01,3.322693767e-02,2.816958853e-01,1.593087643e-02,2.922734793e-01;2.736768609e-01;2.855733272e-01;2.783368635e-01;2.836569772e-01;2.826769986e-01;2.792149071e-01;2.813823748e-01,2.820989736e-01,2.922734793e-01,1.164687394e-01,1.223899798e-01,4.106121757e-09,4.745565435e-02,1.948129208e-03
