trial,trial_kind,method,source_ids,lambda,independent_control_nondegenerate,clean_target_rmse,clean_target_relative_rmse,noisy_target_rmse,jitter_error_floor,centroid_rmse,centered_shape_rmse,per_particle_rmse,mean_particle_rmse,max_particle_rmse,terminal_commutation_gap,terminal_commutation_relative,max_replay_residual,template_coherence_error,nearest_memory_source
0,random,shared,253;162;70;252,0.122048016;0.024458830;0.619187339;0.234305815,1,3.750779559e-01,1.684414089e-01,3.813580222e-01,4.118494275e-02,1.553599512e-01,3.413894529e-01,3.240894347e-01;3.687965552e-01;2.947357660e-01;5.797337854e-01;4.730228346e-01;3.482857648e-01;2.095476378e-01;2.692558280e-01,3.584334508e-01,5.797337854e-01,8.616730573e-02,1.858865454e-01,2.002012020e-08,3.367140952e-01,2.369091509e+00
0,random,independent,253;162;70;252,0.122048016;0.024458830;0.619187339;0.234305815,1,1.152898169e+00,5.177478145e-01,1.150605189e+00,4.118494275e-02,7.297319473e-01,8.925611875e-01,3.240894347e-01;2.090435886e+00;8.939819478e-01;4.433241485e-01;4.730228346e-01;1.786922875e+00;9.979915909e-01;8.659481225e-01,9.844646049e-01,2.090435886e+00,,,2.194488493e-08,8.900940941e-01,5.427688604e+00
1,random,shared,67;121;101;128,0.187176076;0.155068254;0.056330576;0.601425094,1,3.388878370e-01,1.521890152e-01,3.382305604e-01,4.206051471e-02,2.595039212e-01,2.179510976e-01,3.380760776e-01;2.723692659e-01;4.078719111e-01;3.587440213e-01;3.782394176e-01;3.193635249e-01;3.643823435e-01;2.395618881e-01,3.348260562e-01,4.078719111e-01,6.078547792e-02,1.311309713e-01,2.185181240e-08,2.041464508e-01,1.277232660e+00
1,random,independent,67;121;101;128,0.187176076;0.155068254;0.056330576;0.601425094,1,1.009548462e+00,4.533717927e-01,1.008784919e+00,4.206051471e-02,7.022432799e-01,7.252878551e-01,3.380760776e-01;1.081562970e+00;1.193186823e+00;9.973962991e-01;3.782394176e-01;1.178134523e+00;1.302427726e+00;1.106143173e+00,9.468958761e-01,1.302427726e+00,,,2.185181240e-08,7.322141806e-01,4.807143610e+00
2,random,shared,137;143;156;37,0.063846979;0.637844664;0.009279875;0.289028482,1,4.958580306e-01,2.226817758e-01,5.031902434e-01,3.999420190e-02,3.197459655e-01,3.789956517e-01,3.994292088e-01;3.261850082e-01;6.700009625e-01;5.654918367e-01;5.057201469e-01;7.397498731e-01;2.959629383e-01;2.044554473e-01,4.633744277e-01,7.397498731e-01,6.382246598e-02,1.376825887e-01,2.105357240e-08,3.763710627e-01,4.160303101e+00
2,random,independent,137;143;156;37,0.063846979;0.637844664;0.009279875;0.289028482,1,1.636836884e+00,7.350768196e-01,1.641082120e+00,3.999420190e-02,1.281991618e+00,1.017709427e+00,3.994292088e-01;2.614868305e+00;1.360802226e+00;1.474342168e+00;5.057201469e-01;2.484416418e+00;1.290609395e+00;1.522360665e+00,1.456568567e+00,2.614868305e+00,,,2.139556535e-08,1.013010059e+00,5.746367734e+00
3,random,shared,218;187;54;140,0.167330074;0.307508015;0.090702820;0.434459091,1,3.591404658e-01,1.612841413e-01,3.676282525e-01,4.231660970e-02,2.448795739e-01,2.627087142e-01,1.381176721e-01;3.975988840e-01;2.755870925e-01;4.313440747e-01;5.167095570e-01;3.997890964e-01;1.501565506e-01;3.785770670e-01,3.359849993e-01,5.167095570e-01,7.085380740e-02,1.528511234e-01,2.016525382e-08,2.639673238e-01,2.643112959e+00
3,random,independent,218;187;54;140,0.167330074;0.307508015;0.090702820;0.434459091,1,8.170172929e-01,3.669091765e-01,8.225553463e-01,4.231660970e-02,5.778816390e-01,5.775552512e-01,1.381176721e-01;1.071660234e+00;5.405437838e-01;1.144308780e+00;5.167095570e-01;1.026624120e+00;4.091652092e-01;1.040487253e+00,7.359520761e-01,1.144308780e+00,,,2.169432406e-08,5.849231782e-01,3.812966772e+00
4,random,shared,64;200;82;131,0.009021708;0.260125653;0.446062916;0.284789723,1,3.387635321e-01,1.521331919e-01,3.571548241e-01,3.902265413e-02,2.086064837e-01,2.669158400e-01,3.689050056e-01;1.541567006e-01;5.533773021e-01;4.883830700e-01;2.982283119e-01;2.548542673e-01;1.880205018e-01;1.557037563e-01,3.077036145e-01,5.533773021e-01,5.517992009e-02,1.190382435e-01,2.148709444e-08,2.641480644e-01,3.592561654e+00
4,random,independent,64;200;82;131,0.009021708;0.260125653;0.446062916;0.284789723,1,7.592691754e-01,3.409754362e-01,7.744473661e-01,3.902265413e-02,5.340505602e-01,5.397033258e-01,3.689050056e-01;7.712065183e-01;1.102368966e+00;7.998162013e-01;2.982283119e-01;7.658436418e-01;8.190109634e-01;8.245654545e-01,7.187431328e-01,1.102368966e+00,,,2.116221901e-08,5.382225476e-01,4.404392672e+00
