stage,plane,finite,mean_pair_distance,rms_radius,radius_ratio,radius_mean,radius_cv,expected_radius_cv,radius_q05_normalized,radius_q25_normalized,radius_q50_normalized,radius_q75_normalized,radius_q95_normalized,uniform_ball_radius,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_source_id,vertex_particle,vertex_particle_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,0,True,5.578268449208378,4.190476954899006,1.0,3.9516471021460533,0.3528864717904739,0.20412414523193154,0.3465680119937197,0.5753644567944268,0.7503022598485054,0.9505018917652717,1.2495399254655923,5.132265159197201,0.203125,0.22705078125,0.1484375,0.1083984375,0.08203125,0.05517578125,0.0537109375,0.0390625,0.03515625,0.0263671875,0.02099609375,0.20361328125,0.010242017647888459,0.04937156292133739,0.7379248978528445,,,,,,,1
terminal,0,True,1.1762538815970727,0.8712234578572368,0.20790555997180848,0.8497394449780067,0.22628599588670895,0.20412414523193154,0.4560164913775635,0.6905917319135991,0.8279936783659454,0.9296974780546905,1.0366511405530154,1.067026461846697,0.10009765625,0.1181640625,0.10595703125,0.10498046875,0.09814453125,0.1103515625,0.09326171875,0.07763671875,0.0791015625,0.06103515625,0.05078125,0.1005859375,0.0017964159372519898,0.02295277346222518,0.8521126275529497,,,,,,,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0,3.419832099e-03,1.631273926e-03,1.344043761e-03,2.168309926e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,1,2.647292202e-03,1.262769230e-03,1.344043761e-03,2.066912458e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,2,3.015555256e-03,1.438432216e-03,1.344043761e-03,2.116769577e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,3,3.151123856e-03,1.503098993e-03,1.344043761e-03,2.143570008e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,4,3.133086134e-03,1.494494926e-03,1.344043761e-03,2.136919664e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,5,2.878047162e-03,1.372840291e-03,1.344043761e-03,2.107050575e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,6,2.167281302e-03,1.033802063e-03,1.344043761e-03,1.975171645e-08,1
vertex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,7,1.729566756e-03,8.250104306e-04,1.344043761e-03,1.865681782e-08,1
