stage,forward_id,layout,source_count,seed,epsilon,exponent_s,gamma,tau,steps,beta,proximal_steps,vertex_sources,particle_count,particle_median_relative_rmse,particle_p90_relative_rmse,particle_p95_relative_rmse,particle_max_relative_rmse,source_relative_rmse,source_max_relative_rmse,max_replay_residual,forward_seconds,replay_seconds,gate_pass,error
screen,single_eps0.03_s3_g0.002_tau2,single,256,61,0.03,3.0,0.002,2.0,1000,0.025,25,1,8,0.3425883387892351,0.4218569595127076,0.4275427108164374,0.43322846212016725,3.542952250e-01,0.3542952250137188,0.0006780601128461311,212.53929519999656,11.558735099999467,0,
screen,single_eps0.03_s3_g0.002_tau2,single,256,61,0.03,3.0,0.002,2.0,1000,0.025,50,1,8,0.18598827013897298,0.2515140265077735,0.25258098425337605,0.25364794199897855,2.005188235e-01,0.20051882349494815,0.0004001532624197949,212.53929519999656,22.97936650000338,0,
screen,single_eps0.03_s3_g0.002_tau2,single,256,61,0.03,3.0,0.002,2.0,1000,0.025,100,1,8,0.029195301040920982,0.03391198375655219,0.036543054233738145,0.0391741247109241,2.836853175e-02,0.028368531754605946,0.00012696710266098032,212.53929519999656,48.14495270000043,1,
screen,single_eps0.03_s3_g0.002_tau2,single,256,61,0.03,3.0,0.002,2.0,1000,0.025,200,1,8,0.0028923807138395655,0.0032052075964323326,0.0033231298171858188,0.003441052037939305,2.836501590e-03,0.002836501590192434,9.729500937922658e-06,212.53929519999656,109.1280276000034,1,
screen,single_eps0.03_s3_g0.002_tau2,single,256,61,0.03,3.0,0.002,2.0,1000,0.05,25,1,8,0.18263509857349144,0.24737230642055638,0.24859670918405297,0.24982111194754958,1.970096043e-01,0.1970096043440592,0.0003946383494576228,212.53929519999656,17.960060599994904,0,
screen,single_eps0.03_s3_g0.002_tau2,single,256,61,0.03,3.0,0.002,2.0,1000,0.05,50,1,8,0.027563604085031727,0.03192445926045855,0.0343629882761014,0.03680151729174425,2.679399432e-02,0.02679399431672394,0.000123050273340317,212.53929519999656,30.186706300002697,1,
screen,single_eps0.03_s3_g0.002_tau2,single,256,61,0.03,3.0,0.002,2.0,1000,0.05,100,1,8,0.002802028305285355,0.003106423487595639,0.003220294255269431,0.003334165022943223,2.748629060e-03,0.002748629060345914,9.101310918661177e-06,212.53929519999656,69.61769759999879,1,
screen,single_eps0.03_s3_g0.002_tau2,single,256,61,0.03,3.0,0.002,2.0,1000,0.05,200,1,8,0.0015035749441216625,0.0016873891035326294,0.001743757919634604,0.0018001267357365786,1.485729286e-03,0.0014857292858107183,5.2391466349834135e-08,212.53929519999656,140.6183022999976,1,
screen,single_eps0.03_s3_g0.002_tau2,single,256,61,0.03,3.0,0.002,2.0,1000,0.1,25,1,8,0.024524927953210478,0.02822819102069021,0.030296153651912128,0.03236411628313405,2.385937334e-02,0.023859373341841766,0.0001154900760464498,212.53929519999656,17.934526200006076,1,
screen,single_eps0.03_s3_g0.002_tau2,single,256,61,0.03,3.0,0.002,2.0,1000,0.1,50,1,8,0.002630341817929826,0.0029187319448364156,0.00302493092251613,0.0031311299001958444,2.581647843e-03,0.002581647843434993,7.906728713581709e-06,212.53929519999656,34.31358049999835,1,
screen,single_eps0.03_s3_g0.002_tau2,single,256,61,0.03,3.0,0.002,2.0,1000,0.1,100,1,8,0.001501740262399247,0.0016853845118522085,0.0017416724465567207,0.001797960381261233,1.483945017e-03,0.0014839450172040606,3.960098797288245e-08,212.53929519999656,71.28756009999779,1,
screen,single_eps0.03_s3_g0.002_tau2,single,256,61,0.03,3.0,0.002,2.0,1000,0.1,200,1,8,0.0014960565911809184,0.0016791780387307223,0.0017352147924707315,0.001791251546210741,1.478419450e-03,0.0014784194501113969,1.003345714362444e-12,212.53929519999656,81.50208289999864,1,
screen,slot_eps0.03_s3_g0.0005_tau2,slot,256,61,0.03,3.0,0.0005,2.0,4000,0.025,25,1,8,0.1240283884199255,0.13110396794448245,0.13140444216060482,0.1317049163767272,1.227948146e-01,0.12279481456350654,0.0002513770344989219,116.70481849999487,26.374710799995228,0,
screen,slot_eps0.03_s3_g0.0005_tau2,slot,256,61,0.03,3.0,0.0005,2.0,4000,0.025,50,1,8,0.01010087029430696,0.010390306009221934,0.010409073949487811,0.01042784188975369,1.009393097e-02,0.010093930968072906,0.00013722906444926087,116.70481849999487,42.24496170000202,1,
screen,slot_eps0.03_s3_g0.0005_tau2,slot,256,61,0.03,3.0,0.0005,2.0,4000,0.025,100,1,8,0.0022501443900798113,0.002299439112542543,0.002302855826979623,0.0023062725414167034,2.248992168e-03,0.002248992167503199,3.0191318965476162e-05,116.70481849999487,65.01213560000178,1,
screen,slot_eps0.03_s3_g0.0005_tau2,slot,256,61,0.03,3.0,0.0005,2.0,4000,0.025,200,1,8,0.0004997515692634997,0.0005106992994864803,0.0005114808428552624,0.0005122623862240445,4.995346294e-04,0.000499534629445893,2.165263241716099e-06,116.70481849999487,151.41305410000496,1,
