target,target_source_id,method,parent_source_ids,lambda,lambda_fit_rmse,direct_relative_distance,generated_relative_distance,direct_set_rmse,generated_set_rmse,efs_direct_ratio,nearest_parent_relative_distance,nearest_parent_rmse,efs_parent_ratio,direct_aligned_rmse,generated_aligned_rmse,direct_relation_rmse,generated_relation_rmse,terminal_gap,max_replay_residual,generated_nearest_memory_rmse,memory_distance_ratio
0,20,shared_lambda,389;99;299;0,0.416643450;0.220296096;0.136353479;0.226706974,4.241166613e-01,4.184911417e-01,4.767993128e-01,4.241166613e-01,4.776670229e-01,1.139329523e+00,5.240751262e-01,5.242987856e-01,9.097919153e-01,4.241166613e-01,4.776670229e-01,5.766326827e-01,6.741728128e-01,7.144596841e-01,1.262867314e-05,3.595219424e-01,6.857195788e-01
1,21,shared_lambda,356;62;386;145,0.171054626;0.231184094;0.283531749;0.314229532,4.914343806e-01,4.870129287e-01,5.448627995e-01,4.914343806e-01,5.486109576e-01,1.118785082e+00,6.722238938e-01,6.744024912e-01,8.105376862e-01,4.914343806e-01,5.486109576e-01,8.566896803e-01,7.226283066e-01,6.400998675e-01,1.841884042e-05,4.060017405e-01,6.020169644e-01
2,41,shared_lambda,374;298;134;190,0.319041954;0.160431074;0.152123028;0.368403944,4.479930074e-01,4.693773535e-01,5.207057233e-01,4.479930074e-01,4.992179164e-01,1.109354167e+00,6.391779727e-01,6.072442368e-01,8.146490422e-01,4.479930074e-01,4.992179164e-01,4.847722669e-01,5.584231458e-01,7.011908751e-01,1.171993244e-05,3.934966601e-01,6.480039434e-01
3,54,shared_lambda,341;91;474;515,0.266920476;0.239306181;0.232186700;0.261586644,3.364283445e-01,4.107280301e-01,4.488548133e-01,3.364283445e-01,3.673034122e-01,1.092827322e+00,5.604932314e-01,4.540150299e-01,8.008211128e-01,3.364283445e-01,3.673034122e-01,4.038311907e-01,2.601409435e-01,7.836373483e-01,1.397206240e-05,2.454140042e-01,5.405415857e-01
4,65,shared_lambda,439;394;46;499,0.316906527;0.149757590;0.227453946;0.305881936,4.615179494e-01,4.145512937e-01,4.641457259e-01,4.615179494e-01,5.171762980e-01,1.119634006e+00,5.198909060e-01,5.759945177e-01,8.927752351e-01,4.615179494e-01,5.171762980e-01,7.004233229e-01,8.543352571e-01,6.633966316e-01,1.631059725e-05,3.498455674e-01,6.073765577e-01
5,107,shared_lambda,416;519;165;345,0.390105103;0.170178126;0.301881181;0.137835590,3.750435695e-01,4.230449218e-01,3.935197770e-01,3.750435695e-01,3.492215938e-01,9.302080150e-01,5.561949693e-01,4.948491867e-01,7.075212807e-01,3.750435695e-01,3.492215938e-01,6.437555443e-01,4.791302191e-01,5.880782594e-01,1.368048987e-05,3.933648078e-01,7.949185699e-01
6,225,shared_lambda,383;23;104;444,0.282183538;0.246778461;0.212114972;0.258923029,2.751457287e-01,3.153636770e-01,4.120372386e-01,2.751457287e-01,3.570311117e-01,1.306546279e+00,5.192055465e-01,4.498406247e-01,7.935917507e-01,2.751457287e-01,3.570311117e-01,3.525118487e-01,3.213086847e-01,6.433266052e-01,1.343959295e-05,3.738381138e-01,8.310456934e-01
7,234,shared_lambda,290;210;154;436,0.431475901;0.183863399;0.199435803;0.185224896,4.932201714e-01,4.714718650e-01,5.169624478e-01,4.932201714e-01,5.413822184e-01,1.096486315e+00,5.733291136e-01,5.970465738e-01,9.016853244e-01,4.932201714e-01,5.413822184e-01,5.857473390e-01,5.279241977e-01,6.363552535e-01,1.906713383e-05,4.009477725e-01,6.715519193e-01
8,242,shared_lambda,515;131;218;24,0.370018448;0.285483388;0.250269157;0.094229008,4.267301547e-01,5.043502112e-01,4.968344296e-01,4.267301547e-01,4.214262530e-01,9.850980898e-01,6.228110595e-01,5.259061677e-01,7.977289774e-01,4.267301547e-01,4.214262530e-01,5.938533442e-01,5.472948928e-01,5.871013742e-01,1.142347120e-05,3.353920878e-01,6.377413091e-01
9,315,shared_lambda,507;155;91;116,0.351923638;0.295263290;0.085913573;0.266899499,4.178108823e-01,4.248762178e-01,5.247230188e-01,4.178108823e-01,5.252494069e-01,1.235002094e+00,5.319322169e-01,5.295040642e-01,9.864471489e-01,4.178108823e-01,5.252494069e-01,5.664066221e-01,8.157903219e-01,7.286128384e-01,1.338511102e-05,3.218189037e-01,6.077741900e-01
