stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,2.3892093560668872,1.8417260738146606,1.0,0.38600111363716794,0.20412414523193154,0.25947749031862793,0.2658203125,0.18203125,0.1064453125,0.0685546875,0.058984375,0.0466796875,0.0365234375,0.030859375,0.025390625,0.0203125,0.1583984375,0.04647957422317966,0.2438231696686553,0.29271711777068526,,,,,,1
terminal,,,True,1.186528031863315,0.8783339608944881,0.4769080339266989,0.21811199112881763,0.20412414523193154,0.04475673355621046,0.1138671875,0.1064453125,0.0998046875,0.095703125,0.091015625,0.0740234375,0.0791015625,0.1046875,0.11875,0.0755859375,0.041015625,0.00034531112022947444,0.017625467093824298,0.861672859009581,,,,,,1
vertex,475,0,,,,,,,,,,,,,,,,,,,,,,1.449045554e-03,1.899013773e-03,1.572861088e-03,2.061277412e-03,3.238851219e-06,1
vertex,475,1,,,,,,,,,,,,,,,,,,,,,,4.557905671e-04,1.899013773e-03,4.947361699e-04,2.061277412e-03,1.736165140e-06,1
vertex,475,2,,,,,,,,,,,,,,,,,,,,,,1.732017698e-03,1.899013773e-03,1.880012145e-03,2.061277412e-03,3.530167902e-06,1
vertex,475,3,,,,,,,,,,,,,,,,,,,,,,1.172172209e-03,1.899013773e-03,1.272329949e-03,2.061277412e-03,2.851210072e-06,1
vertex,475,4,,,,,,,,,,,,,,,,,,,,,,3.729926197e-03,1.899013773e-03,4.048634469e-03,2.061277412e-03,1.174263894e-05,1
vertex,475,5,,,,,,,,,,,,,,,,,,,,,,1.451919153e-03,1.899013773e-03,1.575980226e-03,2.061277412e-03,3.263965569e-06,1
vertex,475,6,,,,,,,,,,,,,,,,,,,,,,1.319345896e-03,1.899013773e-03,1.432079078e-03,2.061277412e-03,5.069305663e-06,1
vertex,475,7,,,,,,,,,,,,,,,,,,,,,,2.716180220e-03,1.899013773e-03,2.948267681e-03,2.061277412e-03,7.339167258e-06,1
vertex,475,8,,,,,,,,,,,,,,,,,,,,,,1.907634966e-03,1.899013773e-03,2.070635254e-03,2.061277412e-03,3.619685386e-06,1
vertex,475,9,,,,,,,,,,,,,,,,,,,,,,7.767777333e-04,1.899013773e-03,8.431504914e-04,2.061277412e-03,2.488892277e-06,1
vertex,366,0,,,,,,,,,,,,,,,,,,,,,,1.145340015e-03,2.505903502e-03,1.243205045e-03,2.720023603e-03,2.936471671e-06,1
vertex,366,1,,,,,,,,,,,,,,,,,,,,,,9.919375110e-04,2.505903502e-03,1.076694869e-03,2.720023603e-03,2.807273553e-06,1
vertex,366,2,,,,,,,,,,,,,,,,,,,,,,1.427646767e-03,2.505903502e-03,1.549633855e-03,2.720023603e-03,3.260437031e-06,1
vertex,366,3,,,,,,,,,,,,,,,,,,,,,,5.808632900e-03,2.505903502e-03,6.304958901e-03,2.720023603e-03,1.631059725e-05,1
vertex,366,4,,,,,,,,,,,,,,,,,,,,,,2.126544728e-03,2.505903502e-03,2.308250038e-03,2.720023603e-03,5.894954863e-06,1
vertex,366,5,,,,,,,,,,,,,,,,,,,,,,2.464232434e-03,2.505903502e-03,2.674791898e-03,2.720023603e-03,3.834979360e-06,1
vertex,366,6,,,,,,,,,,,,,,,,,,,,,,2.017189544e-03,2.505903502e-03,2.189550862e-03,2.720023603e-03,7.639290062e-06,1
vertex,366,7,,,,,,,,,,,,,,,,,,,,,,1.645509345e-03,2.505903502e-03,1.786111977e-03,2.720023603e-03,5.964992760e-06,1
vertex,366,8,,,,,,,,,,,,,,,,,,,,,,1.322706209e-03,2.505903502e-03,1.435726518e-03,2.720023603e-03,4.532851861e-06,1
vertex,366,9,,,,,,,,,,,,,,,,,,,,,,2.366526577e-03,2.505903502e-03,2.568737440e-03,2.720023603e-03,9.225949492e-06,1
vertex,281,0,,,,,,,,,,,,,,,,,,,,,,1.305884014e-03,1.549832257e-03,1.417466929e-03,1.682259639e-03,4.351019824e-06,1
vertex,281,1,,,,,,,,,,,,,,,,,,,,,,4.135950931e-04,1.549832257e-03,4.489352501e-04,1.682259639e-03,1.760832558e-06,1
vertex,281,2,,,,,,,,,,,,,,,,,,,,,,1.789594547e-03,1.549832257e-03,1.942508721e-03,1.682259639e-03,5.329118170e-06,1
vertex,281,3,,,,,,,,,,,,,,,,,,,,,,2.795050161e-03,1.549832257e-03,3.033876765e-03,1.682259639e-03,6.259674583e-06,1
