stage,source_id,particle,finite,mean_pair_distance,rms_radius,radius_ratio,radius_cv,expected_radius_cv,radial_cdf_gap,radial_zone_0,radial_zone_1,radial_zone_2,radial_zone_3,radial_zone_4,radial_zone_5,radial_zone_6,radial_zone_7,radial_zone_8,radial_zone_9,radial_overflow,angular_resultant,angular_moment_error,covariance_ratio,vertex_particle_rmse,vertex_source_rmse,vertex_particle_relative_rmse,vertex_source_relative_rmse,vertex_replay_residual,gate_pass
initial,,,True,1.6543638913723384,1.3826808976792115,1.0,0.5900136762123338,0.35355339059327373,0.2072163025562329,0.17578125,0.13916015625,0.172119140625,0.11572265625,0.069580078125,0.0595703125,0.058837890625,0.046630859375,0.0341796875,0.02490234375,0.103515625,0.12529324197891673,0.2918046314198065,0.25417595004040294,,,,,,1
terminal,,,True,0.6870810522208896,0.5362839377432955,0.38785806518585164,0.265759875225731,0.35355339059327373,0.36573722156218413,0.091552734375,0.042236328125,0.03271484375,0.032470703125,0.04296875,0.384033203125,0.3740234375,0.0,0.0,0.0,0.0,0.013851091097364909,0.006194289905906115,0.9994714594141664,,,,,,1
vertex,23,0,,,,,,,,,,,,,,,,,,,,,,2.506152797e-03,1.559305764e-03,2.562871477e-03,1.594595617e-03,8.952004832e-13,1
vertex,23,1,,,,,,,,,,,,,,,,,,,,,,2.139233928e-03,1.559305764e-03,2.187648583e-03,1.594595617e-03,7.512966063e-13,1
vertex,23,2,,,,,,,,,,,,,,,,,,,,,,1.259109851e-03,1.559305764e-03,1.287605738e-03,1.594595617e-03,5.973171400e-13,1
vertex,23,3,,,,,,,,,,,,,,,,,,,,,,1.285332039e-03,1.559305764e-03,1.314421381e-03,1.594595617e-03,6.264619120e-13,1
vertex,23,4,,,,,,,,,,,,,,,,,,,,,,8.770393316e-04,1.559305764e-03,8.968882861e-04,1.594595617e-03,4.702184431e-13,1
vertex,23,5,,,,,,,,,,,,,,,,,,,,,,3.885274156e-05,1.559305764e-03,3.973204796e-05,1.594595617e-03,2.421515580e-14,1
vertex,23,6,,,,,,,,,,,,,,,,,,,,,,1.294085071e-03,1.559305764e-03,1.323372510e-03,1.594595617e-03,6.401910542e-13,1
vertex,23,7,,,,,,,,,,,,,,,,,,,,,,1.706327142e-03,1.559305764e-03,1.744944349e-03,1.594595617e-03,6.868654827e-13,1
vertex,473,0,,,,,,,,,,,,,,,,,,,,,,9.313764552e-05,3.267844400e-03,9.524551551e-05,3.341801510e-03,7.171285755e-14,1
vertex,473,1,,,,,,,,,,,,,,,,,,,,,,8.073298495e-03,3.267844400e-03,8.256011549e-03,3.341801510e-03,1.140556429e-12,1
vertex,473,2,,,,,,,,,,,,,,,,,,,,,,3.346116938e-04,3.267844400e-03,3.421845495e-04,3.341801510e-03,2.589503286e-13,1
vertex,473,3,,,,,,,,,,,,,,,,,,,,,,5.647821057e-04,3.267844400e-03,5.775641257e-04,3.341801510e-03,3.083287595e-13,1
vertex,473,4,,,,,,,,,,,,,,,,,,,,,,3.089340951e-03,3.267844400e-03,3.159258212e-03,3.341801510e-03,8.443218183e-13,1
vertex,473,5,,,,,,,,,,,,,,,,,,,,,,2.631674525e-03,3.267844400e-03,2.691233984e-03,3.341801510e-03,8.477982701e-13,1
vertex,473,6,,,,,,,,,,,,,,,,,,,,,,4.897324923e-04,3.267844400e-03,5.008160066e-04,3.341801510e-03,2.792312088e-13,1
vertex,473,7,,,,,,,,,,,,,,,,,,,,,,1.761565471e-03,3.267844400e-03,1.801432819e-03,3.341801510e-03,6.456011535e-13,1
vertex,266,0,,,,,,,,,,,,,,,,,,,,,,1.145805661e-03,1.994118239e-03,1.171737274e-03,2.039248669e-03,6.108085045e-13,1
vertex,266,1,,,,,,,,,,,,,,,,,,,,,,2.430326515e-03,1.994118239e-03,2.485329111e-03,2.039248669e-03,7.806333415e-13,1
vertex,266,2,,,,,,,,,,,,,,,,,,,,,,1.706171203e-03,1.994118239e-03,1.744784882e-03,2.039248669e-03,6.565556192e-13,1
vertex,266,3,,,,,,,,,,,,,,,,,,,,,,1.467937611e-03,1.994118239e-03,1.501159641e-03,2.039248669e-03,6.455476986e-13,1
vertex,266,4,,,,,,,,,,,,,,,,,,,,,,1.171135151e-03,1.994118239e-03,1.197640015e-03,2.039248669e-03,6.459308849e-13,1
vertex,266,5,,,,,,,,,,,,,,,,,,,,,,3.562589590e-03,1.994118239e-03,3.643217307e-03,2.039248669e-03,9.920061599e-13,1
vertex,266,6,,,,,,,,,,,,,,,,,,,,,,1.051948253e-03,1.994118239e-03,1.075755706e-03,2.039248669e-03,5.764759816e-13,1
